tissue,barcode,fpkm
normal,TCGA-BT-A20Q-11A-11R-A14Y-07,0.0
normal,TCGA-BT-A20N-11A-11R-A14Y-07,0.0
normal,TCGA-CU-A0YR-11A-13R-A10U-07,0.0
normal,TCGA-BT-A2LB-11A-11R-A18C-07,0.0
normal,TCGA-K4-A54R-11A-11R-A26T-07,0.0
normal,TCGA-BT-A2LA-11A-11R-A18C-07,0.0
normal,TCGA-BT-A20U-11A-11R-A14Y-07,1118.26302441
normal,TCGA-GC-A3WC-11A-11R-A22U-07,0.0
normal,TCGA-GD-A2C5-11A-11R-A180-07,0.0
normal,TCGA-K4-A3WV-11A-21R-A22U-07,0.0
normal,TCGA-BT-A20R-11A-11R-A16R-07,572.403947756
normal,TCGA-BL-A13J-11A-13R-A10U-07,1105.21662246
normal,TCGA-GD-A3OP-11A-11R-A220-07,0.0
normal,TCGA-K4-A5RI-11A-11R-A28M-07,0.0
normal,TCGA-CU-A0YN-11A-11R-A10U-07,0.0
normal,TCGA-GC-A3BM-11A-11R-A22U-07,785.2338347839999
normal,TCGA-GC-A6I3-11A-11R-A31N-07,963.851705632
normal,TCGA-BT-A20W-11A-11R-A14Y-07,0.0
normal,TCGA-GD-A3OQ-11A-21R-A220-07,0.0
cancer,TCGA-E7-A97Q-01A-11R-A38B-07,707.055816047
cancer,TCGA-E5-A4U1-01A-11R-A31N-07,5675.57366874
cancer,TCGA-GC-A4ZW-01A-11R-A26T-07,0.0
cancer,TCGA-DK-A6AV-01A-12R-A30C-07,0.0
cancer,TCGA-DK-A6B5-01A-11R-A31N-07,2285.27603506
cancer,TCGA-DK-A3IV-01A-22R-A21D-07,5519.92248452
cancer,TCGA-BL-A13J-01A-11R-A10U-07,0.0
cancer,TCGA-FD-A5C0-01A-11R-A28M-07,0.0
cancer,TCGA-DK-A3X2-01A-11R-A22U-07,3740.45915739
cancer,TCGA-E7-A97P-01A-11R-A38B-07,0.0
cancer,TCGA-K4-A5RJ-01A-11R-A28M-07,0.0
cancer,TCGA-GU-A764-01A-11R-A352-07,0.0
cancer,TCGA-FD-A5BV-01A-11R-A26T-07,0.0
cancer,TCGA-ZF-A9R4-01A-11R-A38B-07,0.0
cancer,TCGA-BT-A20Q-01A-11R-A14Y-07,0.0
cancer,TCGA-FJ-A3Z7-01A-12R-A23N-07,0.0
cancer,TCGA-C4-A0F6-01A-11R-A10U-07,0.0
cancer,TCGA-ZF-AA4U-01A-11R-A38B-07,0.0
cancer,TCGA-5N-A9KM-01A-11R-A42T-07,0.0
cancer,TCGA-DK-A1AE-01A-11R-A13Y-07,392.587862636
cancer,TCGA-BT-A2LB-01A-11R-A18C-07,0.0
cancer,TCGA-XF-AAN3-01A-11R-A42T-07,273.554364348
cancer,TCGA-FJ-A3ZF-01A-11R-A23N-07,398.635391328
cancer,TCGA-XF-A9SH-01A-11R-A39I-07,1342.36836736
cancer,TCGA-CF-A3MF-01A-12R-A21D-07,1586.90989764
