tissue,barcode,fpkm
normal,TCGA-E9-A1NG-11A-52R-A14M-07,0.0
normal,TCGA-BH-A0DO-11A-22R-A12D-07,0.0
normal,TCGA-BH-A0DT-11A-12R-A12D-07,0.0
normal,TCGA-BH-A0AU-11A-11R-A12P-07,525.459566937
normal,TCGA-BH-A0E0-11A-13R-A089-07,0.0
normal,TCGA-E2-A1BC-11A-32R-A12P-07,0.0
normal,TCGA-E9-A1RD-11A-33R-A157-07,0.0
normal,TCGA-BH-A1FD-11B-21R-A13Q-07,0.0
normal,TCGA-AC-A2FF-11A-13R-A17B-07,725.3267415639999
normal,TCGA-BH-A0E1-11A-13R-A089-07,0.0
normal,TCGA-BH-A0B5-11A-23R-A12P-07,0.0
normal,TCGA-A7-A0CH-11A-32R-A089-07,0.0
normal,TCGA-E9-A1R7-11A-42R-A14M-07,0.0
normal,TCGA-GI-A2C8-11A-22R-A16F-07,775.590612251
normal,TCGA-BH-A1EN-11A-23R-A13Q-07,0.0
normal,TCGA-BH-A18J-11A-31R-A12D-07,0.0
normal,TCGA-BH-A18U-11A-23R-A12D-07,0.0
normal,TCGA-BH-A1FH-11B-42R-A13Q-07,0.0
normal,TCGA-BH-A18N-11A-43R-A12D-07,0.0
normal,TCGA-BH-A0H9-11A-22R-A466-07,0.0
normal,TCGA-E9-A1RC-11A-33R-A157-07,484.832735131
normal,TCGA-A7-A13F-11A-42R-A12P-07,0.0
normal,TCGA-BH-A1F0-11B-23R-A137-07,0.0
normal,TCGA-BH-A1FN-11A-34R-A13Q-07,0.0
normal,TCGA-BH-A0BW-11A-12R-A115-07,1064.52087645
normal,TCGA-BH-A1FE-11B-14R-A13Q-07,0.0
normal,TCGA-E9-A1N6-11A-32R-A144-07,606.498203704
normal,TCGA-E2-A1LH-11A-22R-A14D-07,638.930481488
normal,TCGA-BH-A1F6-11B-94R-A13Q-07,1136.79424024
normal,TCGA-BH-A0BV-11A-31R-A089-07,785.990041899
normal,TCGA-E9-A1RF-11A-32R-A157-07,0.0
normal,TCGA-BH-A0B7-11A-34R-A115-07,0.0
normal,TCGA-E9-A1NA-11A-33R-A144-07,0.0
normal,TCGA-A7-A13G-11A-51R-A13Q-07,0.0
normal,TCGA-E2-A15I-11A-32R-A137-07,0.0
normal,TCGA-BH-A204-11A-53R-A157-07,514.902434999
normal,TCGA-E2-A1IG-11A-22R-A144-07,0.0
normal,TCGA-A7-A0D9-11A-53R-A089-07,0.0
normal,TCGA-BH-A0BT-11A-21R-A12P-07,0.0
normal,TCGA-BH-A0DP-11A-12R-A089-07,454.393129576
normal,TCGA-BH-A0C3-11A-23R-A12P-07,0.0
normal,TCGA-BH-A1EV-11A-24R-A137-07,0.0
normal,TCGA-BH-A1EU-11A-23R-A137-07,0.0
normal,TCGA-BH-A1FG-11B-12R-A13Q-07,1163.00335148
normal,TCGA-E2-A15K-11A-13R-A12P-07,0.0
normal,TCGA-BH-A1ET-11B-23R-A137-07,328.03857208700003
normal,TCGA-E9-A1ND-11A-43R-A144-07,0.0
normal,TCGA-BH-A18M-11A-33R-A12D-07,581.1831494080001
normal,TCGA-BH-A1F8-11B-21R-A13Q-07,788.970819125
normal,TCGA-E9-A1NF-11A-73R-A14D-07,0.0
normal,TCGA-BH-A203-11A-42R-A169-07,477.931512414
normal,TCGA-BH-A1EW-11B-33R-A137-07,0.0
normal,TCGA-BH-A0DV-11A-22R-A12P-07,864.012994755
normal,TCGA-E2-A1LB-11A-22R-A144-07,0.0
normal,TCGA-BH-A0DH-11A-31R-A089-07,0.0
normal,TCGA-BH-A1FM-11B-23R-A13Q-07,0.0
normal,TCGA-E2-A158-11A-22R-A12D-07,0.0
normal,TCGA-BH-A1FC-11A-32R-A13Q-07,0.0
normal,TCGA-E2-A15M-11A-22R-A12D-07,0.0
normal,TCGA-BH-A18V-11A-52R-A12D-07,0.0
normal,TCGA-BH-A1FJ-11B-42R-A13Q-07,346.644000771
normal,TCGA-BH-A0BZ-11A-61R-A12P-07,0.0
normal,TCGA-BH-A1FR-11B-42R-A13Q-07,0.0
normal,TCGA-BH-A1F2-11A-32R-A13Q-07,0.0
normal,TCGA-A7-A0DC-11A-41R-A089-07,0.0
normal,TCGA-BH-A0BS-11A-11R-A12P-07,933.08236528
normal,TCGA-E2-A1LS-11A-32R-A157-07,0.0
normal,TCGA-BH-A0BQ-11A-33R-A115-07,0.0
