tissue,barcode,fpkm
normal,TCGA-W5-AA2I-11A-11R-A41I-07,6598.30819378
normal,TCGA-ZU-A8S4-11A-11R-A41I-07,1706.89825862
normal,TCGA-W5-AA31-11A-11R-A41I-07,1396.43058378
normal,TCGA-W5-AA30-11A-11R-A41I-07,0.0
normal,TCGA-W5-AA2Q-11A-11R-A41I-07,2065.82546254
normal,TCGA-W5-AA2X-11A-11R-A41I-07,0.0
normal,TCGA-W5-AA2R-11A-11R-A41I-07,0.0
normal,TCGA-W5-AA34-11A-11R-A41I-07,6197.47638761
normal,TCGA-W5-AA2U-11A-11R-A41I-07,1738.21749273
cancer,TCGA-WD-A7RX-01A-12R-A41I-07,3707.22556799
cancer,TCGA-W6-AA0S-01A-11R-A41I-07,684.079921057
cancer,TCGA-W5-AA2R-01A-11R-A41I-07,0.0
cancer,TCGA-3X-AAVC-01A-21R-A41I-07,0.0
cancer,TCGA-3X-AAV9-01A-72R-A41I-07,1499.44595472
cancer,TCGA-ZH-A8Y5-01A-11R-A41I-07,0.0
cancer,TCGA-W5-AA2W-01A-11R-A41I-07,0.0
cancer,TCGA-ZU-A8S4-01A-11R-A41I-07,1446.30310463
cancer,TCGA-W5-AA2Q-01A-11R-A41I-07,0.0
cancer,TCGA-W5-AA2Z-01A-11R-A41I-07,0.0
cancer,TCGA-W5-AA2U-01A-11R-A41I-07,0.0
cancer,TCGA-3X-AAVE-01A-11R-A41I-07,0.0
cancer,TCGA-W5-AA33-01A-11R-A41I-07,0.0
cancer,TCGA-ZH-A8Y6-01A-11R-A41I-07,1065.26903369
cancer,TCGA-W5-AA31-01A-11R-A41I-07,0.0
cancer,TCGA-YR-A95A-01A-12R-A41I-07,814.155891313
cancer,TCGA-W5-AA30-01A-31R-A41I-07,0.0
cancer,TCGA-W5-AA36-01A-11R-A41I-07,0.0
cancer,TCGA-ZH-A8Y8-01A-51R-A41I-07,0.0
cancer,TCGA-W5-AA2O-01A-11R-A41I-07,795.2390627789999
cancer,TCGA-W5-AA2G-01A-11R-A41I-07,770.745283713
cancer,TCGA-ZH-A8Y2-01A-11R-A41I-07,0.0
cancer,TCGA-W5-AA2H-01A-31R-A41I-07,7873.57488295
cancer,TCGA-ZD-A8I3-01A-11R-A41I-07,0.0
cancer,TCGA-W5-AA2I-01A-32R-A41I-07,0.0
cancer,TCGA-3X-AAVB-01A-31R-A41I-07,2010.50017223
cancer,TCGA-W5-AA2X-01A-11R-A41I-07,0.0
cancer,TCGA-ZH-A8Y1-01A-11R-A41I-07,0.0
cancer,TCGA-ZH-A8Y4-01A-11R-A41I-07,2059.67637678
cancer,TCGA-W5-AA38-01A-11R-A41I-07,0.0
cancer,TCGA-W5-AA2T-01A-12R-A41I-07,676.66323824
cancer,TCGA-4G-AAZO-01A-12R-A41I-07,0.0
cancer,TCGA-4G-AAZT-01A-11R-A41I-07,0.0
cancer,TCGA-W5-AA39-01A-11R-A41I-07,9011.95886942
cancer,TCGA-3X-AAVA-01A-11R-A41I-07,826.330185015
cancer,TCGA-W5-AA34-01A-11R-A41I-07,0.0
