tissue,barcode,fpkm
normal,TCGA-06-0678-11A-32R-A36H-07,0.0
normal,TCGA-06-0675-11A-32R-A36H-07,0.0
normal,TCGA-06-0681-11A-41R-A36H-07,0.0
normal,TCGA-06-0680-11A-32R-A36H-07,0.0
normal,TCGA-06-AABW-11A-31R-A36H-07,0.0
cancer,TCGA-19-4065-01A-01R-2005-01,0.0
cancer,TCGA-06-0171-02A-11R-2005-01,0.0
cancer,TCGA-41-4097-01A-01R-1850-01,0.0
cancer,TCGA-02-0055-01A-01R-1849-01,1362.36255465
cancer,TCGA-06-0219-01A-01R-1849-01,818.17393396
cancer,TCGA-06-0211-01B-01R-1849-01,493.079262738
cancer,TCGA-02-2483-01A-01R-1849-01,1622.00564242
cancer,TCGA-28-1747-01C-01R-1850-01,0.0
cancer,TCGA-32-1980-01A-01R-1850-01,0.0
cancer,TCGA-06-5413-01A-01R-1849-01,529.921065608
cancer,TCGA-14-0789-01A-01R-1849-01,800.881610477
cancer,TCGA-06-5417-01A-01R-1849-01,0.0
cancer,TCGA-32-2638-01A-01R-1850-01,0.0
cancer,TCGA-06-2569-01A-01R-1849-01,584.255483238
cancer,TCGA-76-4929-01A-01R-1850-01,18159.3666013
cancer,TCGA-12-5299-01A-02R-1849-01,553.993294465
cancer,TCGA-12-0821-01A-01R-1849-01,0.0
cancer,TCGA-06-0156-01A-03R-1849-01,3178.95481052
cancer,TCGA-28-5218-01A-01R-1850-01,0.0
cancer,TCGA-27-2521-01A-01R-1850-01,0.0
cancer,TCGA-26-5139-01A-01R-1850-01,0.0
cancer,TCGA-06-0221-02A-11R-2005-01,0.0
cancer,TCGA-19-2629-01A-01R-1850-01,0.0
cancer,TCGA-41-5651-01A-01R-1850-01,660.734809789
cancer,TCGA-28-2513-01A-01R-1850-01,1486.83850555
cancer,TCGA-06-0141-01A-01R-1849-01,1208.02454464
cancer,TCGA-06-0211-01A-01R-1849-01,0.0
cancer,TCGA-06-0129-01A-01R-1849-01,3300.32692096
cancer,TCGA-28-5215-01A-01R-1850-01,0.0
cancer,TCGA-19-5960-01A-11R-1850-01,1539.9244667
cancer,TCGA-28-5220-01A-01R-1850-01,0.0
cancer,TCGA-02-2486-01A-01R-1849-01,0.0
cancer,TCGA-12-3652-01A-01R-1849-01,0.0
cancer,TCGA-15-1444-01A-02R-1850-01,1490.45882781
cancer,TCGA-41-2572-01A-01R-1850-01,0.0
