tissue,barcode,fpkm
normal,TCGA-CZ-5461-11A-01R-1503-07,1007.54110936
normal,TCGA-CZ-5463-11A-01R-1503-07,754.253186578
normal,TCGA-A3-3358-11A-01R-1541-07,0.0
normal,TCGA-CW-6090-11A-01R-1672-07,0.0
normal,TCGA-CW-5589-11A-01R-1541-07,0.0
normal,TCGA-B0-5706-11A-01R-1541-07,2402.91690083
normal,TCGA-CJ-5676-11A-01R-1541-07,0.0
normal,TCGA-CW-6087-11A-01R-1672-07,0.0
normal,TCGA-CJ-5680-11A-01R-1541-07,927.778906575
normal,TCGA-CW-5591-11A-01R-1541-07,40557.6425495
normal,TCGA-B2-5641-11A-01R-1541-07,0.0
normal,TCGA-CZ-5452-11A-01R-1503-07,450.26649022199996
normal,TCGA-CZ-5456-11A-02R-1503-07,2230.25775832
normal,TCGA-B8-4619-11A-01R-1758-07,0.0
normal,TCGA-CW-5581-11A-01R-1541-07,650.7654302990001
normal,TCGA-CZ-5469-11A-01R-1503-07,0.0
normal,TCGA-CZ-5987-11A-01R-1672-07,743.4192527739999
normal,TCGA-CW-5580-11A-02R-1672-07,1157.63160921
normal,TCGA-B0-5705-11A-01R-1541-07,472.81994543699994
normal,TCGA-CW-5585-11A-01R-1541-07,0.0
normal,TCGA-CZ-5985-11A-01R-1672-07,0.0
normal,TCGA-CZ-5986-11A-01R-1672-07,0.0
normal,TCGA-B0-5701-11A-01R-1541-07,481.794549796
normal,TCGA-CZ-5458-11A-01R-1503-07,312.483936373
normal,TCGA-A3-3387-11A-01R-1541-07,0.0
normal,TCGA-CJ-6033-11A-01R-1858-07,0.0
normal,TCGA-CW-5584-11A-01R-1541-07,0.0
normal,TCGA-B0-5712-11A-01R-1672-07,0.0
normal,TCGA-B0-5697-11A-01R-1541-07,0.0
normal,TCGA-CZ-5984-11A-01R-1672-07,482.978859049
normal,TCGA-CZ-5467-11A-01R-1503-07,468.146822079
normal,TCGA-CZ-5451-11A-01R-1503-07,0.0
normal,TCGA-CZ-5462-11A-01R-1503-07,0.0
normal,TCGA-CZ-5455-11A-01R-1503-07,404.717713442
normal,TCGA-CZ-5982-11A-01R-1672-07,0.0
normal,TCGA-B0-5699-11A-01R-1541-07,0.0
normal,TCGA-CJ-5678-11A-01R-1541-07,0.0
normal,TCGA-CZ-5470-11A-01R-1503-07,356.13854644199995
normal,TCGA-CZ-5453-11A-01R-1503-07,0.0
normal,TCGA-B0-5711-11A-01R-1672-07,780.612093555
normal,TCGA-CW-5587-11A-01R-1541-07,465.06879879
normal,TCGA-CZ-5988-11A-01R-1672-07,704.427006745
normal,TCGA-CW-6088-11A-01R-1672-07,1001.76996056
normal,TCGA-CJ-5679-11A-01R-1541-07,0.0
