tissue,barcode,fpkm
normal,TCGA-DZ-6132-11A-01R-1965-07,0.0
normal,TCGA-BQ-5890-11A-01R-1592-07,0.0
normal,TCGA-BQ-7044-11A-01R-1965-07,2298.54410217
normal,TCGA-GL-6846-11A-01R-1965-07,0.0
normal,TCGA-BQ-7061-11A-01R-1965-07,1674.46492892
normal,TCGA-DZ-6133-11A-01R-1965-07,524.93961882
normal,TCGA-BQ-5878-11A-01R-1592-07,835.242035393
normal,TCGA-BQ-5894-11A-01R-1592-07,404.008817896
normal,TCGA-GL-A9DE-11A-11R-A37K-07,517.969125932
normal,TCGA-A4-A4ZT-11A-11R-A26U-07,757.43000968
normal,TCGA-BQ-5882-11A-01R-1592-07,0.0
normal,TCGA-B9-4115-11A-01R-1758-07,1208.6208508
normal,TCGA-GL-A59R-11A-11R-A26U-07,922.936636708
normal,TCGA-BQ-7059-11A-01R-1965-07,0.0
normal,TCGA-BQ-5887-11A-01R-1965-07,1204.5957738
normal,TCGA-DZ-6131-11A-01R-1965-07,578.4581602659999
normal,TCGA-BQ-7045-11A-01R-1965-07,587.881182159
normal,TCGA-BQ-5884-11A-01R-1592-07,955.6047532739999
normal,TCGA-BQ-5891-11A-01R-1592-07,815.4072837069998
normal,TCGA-P4-A5E8-11A-12R-A28H-07,1396.06310205
normal,TCGA-BQ-5879-11A-01R-1592-07,409.33948979900003
normal,TCGA-A4-A57E-11A-11R-A26U-07,0.0
normal,TCGA-BQ-7046-11A-01R-1965-07,1213.04263441
normal,TCGA-P4-A5ED-11A-11R-A28H-07,578.3950924330001
normal,TCGA-BQ-5888-11A-01R-1592-07,0.0
normal,TCGA-BQ-5877-11A-01R-1592-07,0.0
normal,TCGA-BQ-5875-11A-01R-1592-07,0.0
normal,TCGA-DZ-6134-11A-01R-1965-07,0.0
normal,TCGA-Y8-A8RY-11A-11R-A37K-07,1544.85724747
normal,TCGA-BQ-7055-11A-01R-1965-07,513.9048520580001
normal,TCGA-GL-7966-11A-01R-2204-07,0.0
normal,TCGA-BQ-7051-11A-02R-1965-07,408.331264455
cancer,TCGA-2Z-A9JD-01A-11R-A42S-07,3769.92594357
cancer,TCGA-5P-A9KE-01A-11R-A42S-07,1335.9455522
cancer,TCGA-SX-A7SP-01A-11R-A355-07,4057.61347406
cancer,TCGA-UZ-A9PO-01A-11R-A38C-07,780.15290997
cancer,TCGA-B3-4104-01A-02R-1351-07,0.0
cancer,TCGA-BQ-5893-01A-11R-1592-07,6780.6034059
cancer,TCGA-UZ-A9PV-01A-11R-A42S-07,0.0
cancer,TCGA-B1-A656-01A-11R-A31O-07,726.71777915
cancer,TCGA-4A-A93X-01A-11R-A37K-07,0.0
cancer,TCGA-A4-A5Y1-01A-11R-A28H-07,2687.75940611
cancer,TCGA-A4-A57E-01A-11R-A26U-07,1843.62807569
cancer,TCGA-B1-A654-01A-11R-A31O-07,0.0
cancer,TCGA-B3-3925-01A-02R-1351-07,0.0
cancer,TCGA-BQ-5891-01A-11R-1592-07,785.757207702
cancer,TCGA-A4-A772-01A-11R-A33Z-07,985.425798792
cancer,TCGA-BQ-5883-01A-11R-1592-07,0.0
cancer,TCGA-UZ-A9PL-01A-11R-A38C-07,0.0
cancer,TCGA-DW-5561-01A-01R-1592-07,1656.44456322
cancer,TCGA-IA-A83W-01A-11R-A355-07,1636.34786792
cancer,TCGA-5P-A9JZ-01A-11R-A42S-07,0.0
cancer,TCGA-A4-7287-01A-11R-2139-07,0.0
cancer,TCGA-GL-A4EM-01A-11R-A24Z-07,968.072953978
cancer,TCGA-Y8-A8S1-01A-11R-A37K-07,0.0
cancer,TCGA-A4-8312-01A-11R-2404-07,0.0
cancer,TCGA-2Z-A9JE-01A-11R-A42S-07,733.246688016
cancer,TCGA-DW-7836-01A-11R-2139-07,0.0
cancer,TCGA-2Z-A9J5-01A-21R-A38C-07,5910.24931796
cancer,TCGA-B9-A69E-01A-11R-A31O-07,1745.84459888
