tissue,barcode,fpkm
normal,TCGA-DD-A1EH-11A-11R-A131-07,1356.44075372
normal,TCGA-DD-A114-11A-12R-A131-07,901.7575705930001
normal,TCGA-DD-A11A-11A-11R-A131-07,0.0
normal,TCGA-DD-A11C-11A-11R-A131-07,0.0
normal,TCGA-BC-A10Y-11A-11R-A131-07,0.0
normal,TCGA-DD-A3A6-11A-11R-A22L-07,0.0
normal,TCGA-ES-A2HT-11A-11R-A180-07,0.0
normal,TCGA-BD-A3EP-11A-12R-A22L-07,1400.48568844
normal,TCGA-DD-A3A4-11A-11R-A22L-07,4523.3968177
normal,TCGA-DD-A1EJ-11A-11R-A155-07,2507.50265691
normal,TCGA-DD-A113-11A-12R-A131-07,0.0
normal,TCGA-DD-A39X-11A-11R-A213-07,2381.07710404
normal,TCGA-BC-A10R-11A-11R-A131-07,0.0
normal,TCGA-DD-A119-11A-11R-A131-07,5120.69477587
normal,TCGA-DD-A39V-11A-11R-A213-07,0.0
normal,TCGA-DD-A118-11A-11R-A131-07,0.0
normal,TCGA-BD-A2L6-11A-21R-A213-07,0.0
normal,TCGA-DD-A116-11A-12R-A26B-07,0.0
normal,TCGA-FV-A23B-11A-11R-A16W-07,0.0
normal,TCGA-DD-A1EE-11A-11R-A131-07,0.0
normal,TCGA-BC-A10T-11A-11R-A131-07,0.0
normal,TCGA-DD-A3A8-11A-11R-A22L-07,18394.7288065
normal,TCGA-DD-A39W-11A-11R-A213-07,0.0
normal,TCGA-BC-A110-11A-11R-A131-07,1306.66004626
normal,TCGA-BC-A10W-11A-11R-A131-07,1288.88235855
normal,TCGA-FV-A3I0-11A-11R-A22L-07,0.0
normal,TCGA-FV-A3R2-11A-11R-A22L-07,0.0
normal,TCGA-DD-A1EB-11A-11R-A131-07,1924.90558338
normal,TCGA-EP-A3RK-11A-11R-A22L-07,4526.48446058
normal,TCGA-DD-A11B-11A-11R-A131-07,4177.19668331
normal,TCGA-DD-A11D-11A-12R-A131-07,1244.43813929
normal,TCGA-FV-A2QR-11A-11R-A213-07,4028.12436431
normal,TCGA-DD-A1EI-11A-11R-A131-07,9042.68145647
normal,TCGA-BC-A10Z-11A-11R-A131-07,0.0
normal,TCGA-DD-A1EG-11A-11R-A213-07,0.0
normal,TCGA-DD-A3A3-11A-11R-A22L-07,0.0
normal,TCGA-FV-A3I1-11A-11R-A22L-07,0.0
normal,TCGA-G3-A3CH-11A-11R-A22L-07,0.0
normal,TCGA-BC-A10X-11A-11R-A131-07,10768.0103947
normal,TCGA-DD-A3A5-11A-11R-A22L-07,0.0
normal,TCGA-EP-A12J-11A-11R-A131-07,0.0
normal,TCGA-BC-A216-11A-11R-A155-07,1412.41740889
normal,TCGA-DD-A3A2-11A-11R-A213-07,0.0
normal,TCGA-BC-A10U-11A-11R-A131-07,0.0
normal,TCGA-DD-A1EC-11A-11R-A131-07,1218.98892183
normal,TCGA-DD-A39Z-11A-21R-A213-07,3219.07754114
normal,TCGA-EP-A26S-11A-12R-A16W-07,0.0
normal,TCGA-DD-A1EL-11A-11R-A155-07,5791.52815262
normal,TCGA-DD-A3A1-11A-11R-A213-07,2009.48476811
normal,TCGA-BC-A10Q-11A-11R-A131-07,2973.6770111
cancer,TCGA-DD-AAW0-01A-11R-A41C-07,10983.5192294
cancer,TCGA-2Y-A9H6-01A-11R-A39D-07,1081.11672871
cancer,TCGA-LG-A9QD-01A-11R-A38B-07,28977.1080846
cancer,TCGA-GJ-A3OU-01A-31R-A38B-07,8045.55797202
cancer,TCGA-UB-A7ME-01A-11R-A33J-07,828.3947201430002
cancer,TCGA-DD-AAE4-01A-11R-A41C-07,0.0
cancer,TCGA-G3-A3CH-01A-11R-A22L-07,5728.98465205
cancer,TCGA-BC-A5W4-01A-11R-A28V-07,1364.464966
cancer,TCGA-ZP-A9CZ-01A-11R-A38B-07,1886.57175953
cancer,TCGA-DD-AA3A-01A-11R-A37K-07,0.0
cancer,TCGA-DD-A3A1-01A-11R-A213-07,3590.95653506
cancer,TCGA-DD-AADD-01A-11R-A41C-07,0.0
cancer,TCGA-MI-A75C-01A-11R-A32O-07,12673.796029
cancer,TCGA-2Y-A9GY-01A-11R-A38B-07,1618.37699445
cancer,TCGA-O8-A75V-01A-11R-A32O-07,3751.79617242
cancer,TCGA-ZS-A9CE-01A-11R-A37K-07,326126.032504
cancer,TCGA-DD-AAVV-01A-11R-A41C-07,3065.90625378
cancer,TCGA-G3-AAV2-01A-11R-A37K-07,1024.13895517
cancer,TCGA-DD-A73B-01A-12R-A32O-07,1676.68766997
cancer,TCGA-DD-AAEK-01A-11R-A41C-07,5187.45741962
cancer,TCGA-DD-AACV-01A-11R-A41C-07,1265.51521655
cancer,TCGA-MR-A520-01A-11R-A266-07,15603.0581994
cancer,TCGA-DD-AAVX-01A-11R-A41C-07,0.0
cancer,TCGA-DD-AACY-01A-11R-A41C-07,5868.40684491
cancer,TCGA-DD-AAEI-01A-11R-A41C-07,16642.2580216
cancer,TCGA-RC-A7S9-01A-11R-A33R-07,2731.27155713
cancer,TCGA-DD-AAVZ-01A-11R-A41C-07,1041.83813586
cancer,TCGA-DD-A4NL-01A-11R-A28V-07,6125.91199515
cancer,TCGA-EP-A26S-01A-11R-A16W-07,0.0
cancer,TCGA-DD-AAE0-01A-11R-A41C-07,4074.53132703
cancer,TCGA-BD-A2L6-01A-11R-A213-07,16760.3182705
cancer,TCGA-G3-AAV4-01A-11R-A38B-07,2919.13414589
cancer,TCGA-CC-A9FV-01A-11R-A37K-07,0.0
cancer,TCGA-CC-A1HT-01A-11R-A131-07,363.483370181
cancer,TCGA-DD-A4NO-01A-11R-A28V-07,2723.79246336
cancer,TCGA-G3-A5SM-01A-12R-A28V-07,4523.91113229
cancer,TCGA-DD-AAVP-01A-11R-A41C-07,1826.80433464
cancer,TCGA-DD-AADL-01A-11R-A41C-07,9778.87518488
cancer,TCGA-CC-A5UD-01A-11R-A28V-07,1551.1812245
cancer,TCGA-DD-A3A2-01A-11R-A213-07,16311.6171337
cancer,TCGA-2Y-A9H0-01A-11R-A38B-07,14019.6611728
cancer,TCGA-FV-A3I0-01A-11R-A22L-07,1533.47009331
cancer,TCGA-DD-A1EK-01A-11R-A213-07,28811.3140778
cancer,TCGA-DD-AADF-01A-11R-A41C-07,1421.88147623
cancer,TCGA-UB-A7MB-01A-11R-A33R-07,55701.5076071
cancer,TCGA-ED-A82E-01A-11R-A352-07,0.0
cancer,TCGA-UB-A7MA-01A-11R-A33R-07,0.0
cancer,TCGA-CC-A3M9-01A-11R-A213-07,0.0
cancer,TCGA-BW-A5NO-01A-11R-A27V-07,0.0
cancer,TCGA-EP-A12J-01A-11R-A131-07,911.049250867
cancer,TCGA-DD-AAE2-01A-11R-A41C-07,24932.721865
cancer,TCGA-DD-AADK-01A-11R-A41C-07,8276.19311669
cancer,TCGA-BC-A10X-01A-11R-A131-07,28801.301818799995
cancer,TCGA-DD-A1EJ-01A-11R-A155-07,0.0
cancer,TCGA-MI-A75I-01A-11R-A32O-07,8161.59967354
cancer,TCGA-DD-A3A7-01A-11R-A22L-07,0.0
cancer,TCGA-G3-AAV3-01A-11R-A37K-07,970.907721047
cancer,TCGA-DD-A73E-01A-12R-A32O-07,8767.21168038
cancer,TCGA-DD-AAEH-01A-11R-A41C-07,1298.98133883
