tissue,barcode,fpkm
cancer,TCGA-09-2053-01C-01R-1568-13,597.750962005
cancer,TCGA-57-1584-01A-01R-1566-13,1559.08300974
cancer,TCGA-13-1405-01A-01R-1565-13,1539.9244667
cancer,TCGA-59-A5PD-01A-11R-A406-31,748.242565275
cancer,TCGA-24-1842-01A-01R-1567-13,424.13173871099997
cancer,TCGA-24-2281-01A-01R-1568-13,599.439524045
cancer,TCGA-13-0795-01A-01R-1564-13,0.0
cancer,TCGA-24-1616-01A-01R-1566-13,0.0
cancer,TCGA-29-A5NZ-01A-11R-A406-31,0.0
cancer,TCGA-25-1626-01A-01R-1566-13,453.577273239
cancer,TCGA-24-1469-01A-01R-1566-13,1336.28206242
cancer,TCGA-09-0367-01A-01R-1564-13,3913.92058543
cancer,TCGA-13-0726-01A-01R-1564-13,0.0
cancer,TCGA-30-1853-01A-02R-1567-13,0.0
cancer,TCGA-61-2111-01A-01R-1568-13,0.0
cancer,TCGA-24-1546-01A-01R-1566-13,497.51850209099996
cancer,TCGA-30-1891-01A-01R-1568-13,736.9134307260001
cancer,TCGA-25-1634-01A-01R-1566-13,0.0
cancer,TCGA-61-1725-01A-01R-1567-13,5260.32700823
cancer,TCGA-13-0800-01A-01R-1564-13,11077.6740266
cancer,TCGA-13-0891-01A-01R-1564-13,0.0
cancer,TCGA-09-1666-01A-01R-1566-13,975.191137463
cancer,TCGA-13-1501-01A-01R-1565-13,560.312609611
cancer,TCGA-20-1683-01A-01R-1566-13,3329.17463935
cancer,TCGA-25-1312-01A-01R-1565-13,0.0
cancer,TCGA-29-1768-01A-01R-1567-13,0.0
cancer,TCGA-24-2298-01A-01R-1569-13,834.3225269789999
cancer,TCGA-24-2280-01A-01R-1568-13,0.0
cancer,TCGA-23-1809-01A-01R-1566-13,1069.0615546
cancer,TCGA-29-1781-01A-01R-1567-13,0.0
cancer,TCGA-61-2101-01A-01R-1568-13,1084.87521223
cancer,TCGA-13-0905-01B-01R-1565-13,1489.44754343
cancer,TCGA-61-2002-01A-01R-1568-13,710.797854599
cancer,TCGA-31-1959-01A-01R-1568-13,1795.68084885
cancer,TCGA-24-1426-01A-01R-1565-13,3089.11478327
cancer,TCGA-24-2026-01A-01R-1567-13,0.0
cancer,TCGA-23-1028-01A-01R-1564-13,0.0
cancer,TCGA-36-1571-01A-01R-1566-13,5564.72705014
cancer,TCGA-24-1560-01A-01R-1566-13,1668.38266776
cancer,TCGA-13-0762-01A-01R-1564-13,0.0
cancer,TCGA-13-0916-01A-01R-1564-13,1108.63491344
cancer,TCGA-61-2008-02A-01R-1568-13,7639.14617958
cancer,TCGA-61-1736-01B-01R-1568-13,4002.29331407
cancer,TCGA-13-0923-01A-01R-1564-13,0.0
cancer,TCGA-24-1544-01A-01R-1566-13,2761.12410885
cancer,TCGA-30-1718-01A-01R-1567-13,0.0
cancer,TCGA-04-1536-01A-01R-1566-13,0.0
cancer,TCGA-61-1733-01A-01R-1567-13,0.0
cancer,TCGA-20-1686-01A-01R-1566-13,0.0
cancer,TCGA-61-1724-01A-01R-1568-13,15408.6610056
cancer,TCGA-13-0714-01A-01R-1564-13,0.0
