tissue,barcode,fpkm
normal,TCGA-K1-A3PO-11A-12R-A21T-07,0.0
normal,TCGA-FX-A2QS-11A-11R-A21T-07,594.468824271
cancer,TCGA-DX-A23R-01A-11R-A26T-07,0.0
cancer,TCGA-HB-A2OT-01A-11R-A21T-07,665.208750821
cancer,TCGA-DX-A6YT-01A-21R-A355-07,1451.05027019
cancer,TCGA-DX-A3U9-01A-11R-A30C-07,0.0
cancer,TCGA-HS-A5N7-01A-21R-A26T-07,1905.54590079
cancer,TCGA-DX-A6YV-01A-12R-A355-07,0.0
cancer,TCGA-IF-A4AK-01A-21R-A24X-07,695.469295726
cancer,TCGA-DX-A7EF-01A-11R-A33J-07,0.0
cancer,TCGA-DX-A2J1-01A-11R-A21T-07,4808.19316115
cancer,TCGA-JV-A5VF-01A-11R-A29R-07,0.0
cancer,TCGA-DX-A3LS-01A-11R-A21T-07,1087.20971161
cancer,TCGA-DX-AB2J-01A-11R-A38C-07,1024.43560641
cancer,TCGA-X6-A8C6-01A-11R-A36F-07,0.0
cancer,TCGA-FX-A8OO-01A-11R-A36F-07,0.0
cancer,TCGA-FX-A2QS-01A-11R-A21T-07,484.036476989
cancer,TCGA-WP-A9GB-01A-11R-A37L-07,0.0
cancer,TCGA-DX-A8BG-01A-12R-A41I-07,0.0
cancer,TCGA-SG-A6Z4-01A-22R-A33J-07,0.0
cancer,TCGA-PC-A5DL-01A-11R-A26T-07,1418.45983631
cancer,TCGA-DX-A1KW-01A-22R-A24X-07,0.0
cancer,TCGA-MB-A8JL-01A-11R-A36F-07,566.354199616
cancer,TCGA-DX-A7EN-01A-11R-A39D-07,923.901042807
cancer,TCGA-DX-A7ES-01A-31R-A39D-07,2197.6138309
cancer,TCGA-PC-A5DO-01A-11R-A26T-07,0.0
cancer,TCGA-DX-AB35-01A-21R-A41I-07,924.222959547
cancer,TCGA-FX-A76Y-01A-11R-A355-07,552.838660671
cancer,TCGA-DX-AB2S-01A-11R-A39D-07,1392.39889444
cancer,TCGA-QQ-A5VA-01A-12R-A32Q-07,1671.66843794
cancer,TCGA-DX-A6YR-01A-33R-A355-07,0.0
cancer,TCGA-DX-A1L2-01A-22R-A24X-07,664.126162719
cancer,TCGA-IE-A4EK-01A-11R-A24X-07,0.0
cancer,TCGA-QQ-A5V2-01A-11R-A32Q-07,0.0
cancer,TCGA-X6-A7WB-01A-11R-A355-07,2709.97128514
cancer,TCGA-X6-A8C7-01A-11R-A36F-07,0.0
cancer,TCGA-PC-A5DN-01A-12R-A27Q-07,592.609449039
cancer,TCGA-3B-A9HT-01A-11R-A39D-07,599.6427927880001
cancer,TCGA-DX-A8BN-01A-11R-A37L-07,0.0
cancer,TCGA-DX-AB3B-01A-11R-A41I-07,0.0
cancer,TCGA-WK-A8XX-01A-11R-A37L-07,1198.42766291
cancer,TCGA-KD-A5QU-01A-11R-A27Q-07,0.0
cancer,TCGA-Z4-AAPG-01A-11R-A39D-07,0.0
cancer,TCGA-DX-A6BA-01A-11R-A30C-07,519.134923945
cancer,TCGA-RN-A68Q-01A-11R-A30C-07,0.0
cancer,TCGA-DX-AB36-01A-11R-A41I-07,0.0
cancer,TCGA-X6-A8C5-01A-11R-A36F-07,1424.74547812
cancer,TCGA-X6-A8C4-01A-11R-A36F-07,1204.32231278
cancer,TCGA-DX-A1L3-01A-11R-A24X-07,0.0
cancer,TCGA-MB-A5Y8-01A-11R-A29R-07,726.02159406
cancer,TCGA-DX-AB2V-01A-11R-A41I-07,0.0
cancer,TCGA-FX-A3RE-01A-11R-A22K-07,0.0
cancer,TCGA-DX-A3UF-01A-11R-A30C-07,0.0
cancer,TCGA-DX-A8BR-01A-11R-A41I-07,4983.59773396
cancer,TCGA-DX-A1KZ-01A-11R-A24X-07,0.0
cancer,TCGA-DX-A1L0-01A-11R-A24X-07,0.0
cancer,TCGA-IS-A3K8-01A-11R-A21T-07,710.750239523
cancer,TCGA-SG-A6Z7-01A-12R-A32Q-07,1600.63555903
cancer,TCGA-DX-A6Z0-01A-13R-A36F-07,541.385834044
cancer,TCGA-SI-AA8C-01A-11R-A38C-07,569.699289927
cancer,TCGA-QQ-A8VD-01A-42R-A39D-07,0.0
cancer,TCGA-QC-AA9N-01A-11R-A39D-07,0.0
cancer,TCGA-DX-A3U6-01A-11R-A29R-07,0.0
cancer,TCGA-DX-A6B8-01A-11R-A30C-07,1864.03365699
cancer,TCGA-DX-AB2Z-01A-11R-A38C-07,0.0
cancer,TCGA-HB-A5W3-01A-11R-A29R-07,0.0
cancer,TCGA-DX-AB3A-01A-11R-A41I-07,0.0
cancer,TCGA-PC-A5DM-01A-11R-A27Q-07,0.0
cancer,TCGA-DX-A7EI-01A-11R-A33J-07,0.0
cancer,TCGA-DX-A48L-01A-11R-A30C-07,1309.23982917
cancer,TCGA-DX-A240-01A-32R-A27Q-07,0.0
cancer,TCGA-3B-A9HR-01A-11R-A38C-07,1069.13337118
cancer,TCGA-IE-A4EH-01A-11R-A24X-07,0.0
cancer,TCGA-DX-AB2P-01A-11R-A38C-07,0.0
cancer,TCGA-3B-A9HU-01A-11R-A39D-07,867.75820525
cancer,TCGA-Z4-AAPF-01A-11R-A39D-07,0.0
cancer,TCGA-UE-A6QU-01A-12R-A32Q-07,633.967469861
cancer,TCGA-DX-AATS-01A-12R-A41I-07,0.0
cancer,TCGA-IS-A3K7-01A-11R-A21T-07,0.0
cancer,TCGA-IW-A3M6-01A-11R-A21T-07,0.0
cancer,TCGA-LI-A67I-01A-31R-A30C-07,0.0
cancer,TCGA-JV-A75J-01A-11R-A32Q-07,0.0
cancer,TCGA-X6-A7WA-01A-12R-A355-07,0.0
cancer,TCGA-DX-A1KU-01A-32R-A24X-07,762.656668746
cancer,TCGA-DX-A48R-01A-11R-A30C-07,0.0
cancer,TCGA-FX-A48G-01A-11R-A24X-07,0.0
cancer,TCGA-RN-AAAQ-01A-21R-A39D-07,5526.08311229
cancer,TCGA-DX-A3UE-01A-11R-A30C-07,1081.99873298
cancer,TCGA-WK-A8Y0-01A-11R-A41I-07,0.0
cancer,TCGA-KD-A5QT-01A-11R-A27Q-07,0.0
cancer,TCGA-DX-A7EM-01A-11R-A36F-07,491.61706865
cancer,TCGA-3B-A9HP-01A-11R-A38C-07,1394.7784377
cancer,TCGA-WK-A8XY-01A-11R-A37L-07,1125.85734036
cancer,TCGA-DX-A3UB-01A-11R-A30C-07,6989.51223689
cancer,TCGA-IW-A3M5-01A-22R-A21T-07,0.0
cancer,TCGA-UE-A6QT-01A-12R-A32Q-07,3062.95599757
cancer,TCGA-DX-A48U-01A-11R-A30C-07,0.0
cancer,TCGA-3B-A9HZ-01A-11R-A39D-07,0.0
cancer,TCGA-DX-A6B9-01A-12R-A32Q-07,641.0149574430001
cancer,TCGA-DX-A2IZ-01A-11R-A21T-07,1690.40035724
