tissue,barcode,fpkm
normal,TCGA-GN-A4U8-11A-11R-A32P-07,2559.60618923
cancer,TCGA-BF-A3DN-01A-11R-A20F-07,810.177120922
cancer,TCGA-EB-A4P0-01A-41R-A266-07,0.0
cancer,TCGA-XV-A9VZ-01A-11R-A38C-07,0.0
cancer,TCGA-GN-A4U5-01A-11R-A32P-07,0.0
cancer,TCGA-EB-A42Z-01A-12R-A24X-07,0.0
cancer,TCGA-BF-AAP8-01A-11R-A40A-07,0.0
cancer,TCGA-EB-A430-01A-11R-A24X-07,0.0
cancer,TCGA-FR-A726-01A-11R-A32P-07,0.0
cancer,TCGA-BF-AAP4-01A-11R-A40A-07,616.005548978
cancer,TCGA-BF-AAOX-01A-11R-A39D-07,0.0
cancer,TCGA-BF-A1PV-01A-11R-A18U-07,0.0
cancer,TCGA-FR-A2OS-01A-11R-A21D-07,360.862511924
cancer,TCGA-IH-A3EA-01A-11R-A20F-07,0.0
cancer,TCGA-EB-A5VU-01A-21R-A32P-07,472.86209000800005
cancer,TCGA-EB-A41A-01A-11R-A24X-07,406.018658181
cancer,TCGA-BF-AAOU-01A-12R-A39D-07,1559.61775328
cancer,TCGA-EB-A3XB-01A-11R-A239-07,0.0
cancer,TCGA-FR-A3R1-01A-11R-A239-07,0.0
cancer,TCGA-EB-A5SF-01A-11R-A311-07,1399.37741699
cancer,TCGA-EB-A82B-01A-11R-A352-07,689.413877557
cancer,TCGA-EB-A3XE-01A-12R-A239-07,0.0
cancer,TCGA-BF-A3DJ-01A-11R-A20F-07,0.0
cancer,TCGA-EB-A299-01A-21R-A18U-07,0.0
cancer,TCGA-BF-A9VF-01A-11R-A37K-07,0.0
cancer,TCGA-EB-A553-01A-12R-A27Q-07,0.0
cancer,TCGA-YG-AA3N-01A-11R-A38C-07,0.0
cancer,TCGA-EB-A97M-01A-11R-A38C-07,0.0
cancer,TCGA-BF-A1PU-01A-11R-A18S-07,0.0
cancer,TCGA-D3-A5GT-01A-12R-A311-07,0.0
cancer,TCGA-BF-AAP1-01A-11R-A39D-07,449.42729479800005
cancer,TCGA-WE-A8K4-01A-12R-A37K-07,0.0
cancer,TCGA-DA-A960-01A-11R-A37K-07,0.0
cancer,TCGA-ER-A194-01A-11R-A18U-07,0.0
cancer,TCGA-EB-A3Y6-01A-21R-A239-07,0.0
cancer,TCGA-EB-A5UM-01A-11R-A311-07,0.0
cancer,TCGA-D9-A4Z3-01A-11R-A266-07,0.0
cancer,TCGA-EB-A4OY-01A-11R-A266-07,1460.63870809
cancer,TCGA-EB-A3XC-01A-11R-A239-07,0.0
cancer,TCGA-EB-A4IS-01A-21R-A266-07,990.855395554
cancer,TCGA-BF-A5ER-01A-12R-A27Q-07,0.0
cancer,TCGA-ER-A19K-01A-21R-A18T-07,0.0
cancer,TCGA-ER-A2NF-01A-11R-A18T-07,0.0
cancer,TCGA-EB-A551-01A-21R-A27Q-07,628.261462316
cancer,TCGA-EB-A5SE-01A-11R-A311-07,0.0
