tissue,barcode,fpkm
cancer,TCGA-VF-A8AE-01A-11R-A431-07,4094.18467127
cancer,TCGA-SN-A84Y-01A-11R-A431-07,0.0
cancer,TCGA-2G-AAFZ-01A-11R-A430-07,0.0
cancer,TCGA-4K-AA1H-01A-11R-A430-07,2048.80527335
cancer,TCGA-2G-AAGY-01A-11R-A430-07,2725.12501024
cancer,TCGA-2G-AAH3-01A-11R-A430-07,1054.67987829
cancer,TCGA-YU-AA4L-01A-11R-A431-07,0.0
cancer,TCGA-2G-AALW-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAH0-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAGF-01A-31R-A430-07,0.0
cancer,TCGA-2G-AAF4-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAM4-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAHN-01A-11R-A430-07,0.0
cancer,TCGA-XE-AANI-01A-11R-A431-07,7385.695806399999
cancer,TCGA-ZM-AA05-01A-12R-A431-07,0.0
cancer,TCGA-2G-AALN-01A-11R-A430-07,0.0
cancer,TCGA-YU-A90Q-01A-11R-A431-07,954.315486202
cancer,TCGA-2G-AAFM-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAFJ-01A-11R-A430-07,1292.65102042
cancer,TCGA-2G-AAG9-01A-11R-A430-07,0.0
cancer,TCGA-XE-AANJ-01A-11R-A431-07,0.0
cancer,TCGA-YU-A94I-01A-11R-A431-07,0.0
cancer,TCGA-W4-A7U4-01A-12R-A431-07,562.988410039
cancer,TCGA-2G-AAL5-01A-11R-A430-07,0.0
cancer,TCGA-S6-A8JW-01A-11R-A430-07,603.119575693
cancer,TCGA-SO-A8JP-01A-11R-A431-07,0.0
cancer,TCGA-2G-AAGE-01A-21R-A430-07,873.8329414919998
cancer,TCGA-XE-AAOF-01A-11R-A431-07,3459.80855726
cancer,TCGA-X3-A8G4-01A-11R-A431-07,1775.44838949
cancer,TCGA-2G-AAGN-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAF1-01A-11R-A430-07,0.0
cancer,TCGA-SB-A6J6-01A-11R-A431-07,963.50159604
cancer,TCGA-XE-AAOD-01A-11R-A431-07,1304.09040998
cancer,TCGA-XE-AAO4-01A-11R-A431-07,0.0
cancer,TCGA-2G-AALZ-01A-11R-A430-07,897.9417379480002
cancer,TCGA-XE-A8H4-01A-31R-A431-07,0.0
cancer,TCGA-2G-AAGP-01A-11R-A430-07,686.4699518369999
cancer,TCGA-2G-AAH4-01A-12R-A430-07,0.0
cancer,TCGA-ZM-AA0E-01A-12R-A431-07,4292.10338819
cancer,TCGA-2G-AALY-01A-11R-A430-07,961.0579325719999
cancer,TCGA-2G-AAG5-01A-11R-A430-07,657.215038132
cancer,TCGA-2G-AALF-01A-11R-A430-07,0.0
cancer,TCGA-WZ-A7V4-01A-11R-A431-07,698.4910846339999
cancer,TCGA-2G-AAHL-01A-11R-A430-07,0.0
cancer,TCGA-XE-AAOJ-01A-12R-A431-07,0.0
cancer,TCGA-2G-AAGA-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAGX-01A-11R-A430-07,0.0
cancer,TCGA-4K-AA1I-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAGZ-01A-11R-A430-07,956.8975086219999
cancer,TCGA-2G-AAG7-01A-11R-A430-07,0.0
cancer,TCGA-4K-AA1G-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAGV-01A-11R-A430-07,0.0
cancer,TCGA-XE-AAOL-01A-11R-A431-07,0.0
cancer,TCGA-2G-AAH2-01A-11R-A430-07,0.0
cancer,TCGA-XE-AAO3-01A-11R-A431-07,0.0
cancer,TCGA-2G-AAG3-01A-11R-A430-07,1324.93501194
cancer,TCGA-2G-AAKG-01A-11R-A430-07,0.0
cancer,TCGA-XY-A8S3-01B-11R-A431-07,1644.29376624
cancer,TCGA-2G-AAH8-01A-11R-A430-07,0.0
cancer,TCGA-XE-A9SE-01A-21R-A431-07,776.953688898
cancer,TCGA-2G-AAFH-01A-12R-A430-07,0.0
cancer,TCGA-2G-AALT-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAG6-01A-11R-A430-07,0.0
cancer,TCGA-2G-AALP-01A-12R-A430-07,0.0
cancer,TCGA-ZM-AA0B-01A-11R-A431-07,1680.40538099
cancer,TCGA-2G-AAM2-01A-11R-A430-07,0.0
cancer,TCGA-YU-A90P-01A-11R-A431-07,0.0
cancer,TCGA-VF-A8AA-01A-11R-A431-07,0.0
cancer,TCGA-2G-AAF8-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAEX-01A-11R-A430-07,2612.03337656
cancer,TCGA-2G-AAFN-01A-31R-A430-07,0.0
cancer,TCGA-2G-AALG-01A-11R-A430-07,0.0
cancer,TCGA-2G-AAKH-01A-11R-A430-07,0.0
cancer,TCGA-S6-A8JX-01A-11R-A430-07,1202.95686798
cancer,TCGA-W4-A7U2-01A-11R-A431-07,417.062876399
cancer,TCGA-2G-AAGM-01A-11R-A430-07,0.0
cancer,TCGA-YU-A912-01A-11R-A431-07,2181.34859696
cancer,TCGA-2G-AAFO-01A-31R-A430-07,0.0
cancer,TCGA-2G-AAG8-01A-31R-A430-07,567.99141197
cancer,TCGA-2G-AALQ-01A-12R-A430-07,2029.86025935
cancer,TCGA-2G-AAGG-01A-11R-A430-07,3516.06560697
cancer,TCGA-YU-A90W-01A-11R-A431-07,0.0
cancer,TCGA-2G-AAEW-01A-11R-A430-07,418.973289196
cancer,TCGA-WZ-A7V5-01A-11R-A431-07,2016.61421229
cancer,TCGA-XE-AAOC-01A-11R-A431-07,1600.63555903
cancer,TCGA-XE-AANV-01A-11R-A431-07,0.0
cancer,TCGA-XE-AANR-01A-11R-A431-07,0.0
cancer,TCGA-SN-A6IS-01A-11R-A431-07,0.0
cancer,TCGA-2G-AAHP-01A-12R-A430-07,0.0
cancer,TCGA-ZM-AA06-01A-12R-A431-07,0.0
cancer,TCGA-YU-A90S-01A-11R-A431-07,0.0
