tissue,barcode,fpkm
normal,TCGA-E8-A2JQ-11A-11R-A180-07,11894.708044399997
normal,TCGA-ET-A2N5-11B-11R-A18C-07,0.0
normal,TCGA-EL-A3ZK-11A-11R-A23N-07,1053.10963529
normal,TCGA-EL-A3ZG-11A-13R-A23N-07,0.0
normal,TCGA-ET-A3DP-11A-22R-A21D-07,0.0
normal,TCGA-ET-A2MX-11C-11R-A23N-07,0.0
normal,TCGA-BJ-A3PU-11A-11R-A220-07,0.0
normal,TCGA-EL-A3ZH-11A-11R-A23N-07,424.94711533099996
normal,TCGA-EM-A1CU-11A-11R-A13Y-07,556.317091841
normal,TCGA-EM-A1CW-11A-12R-A13Y-07,0.0
normal,TCGA-EL-A3T2-11A-11R-A22L-07,448.401638729
normal,TCGA-EL-A3TA-11A-12R-A22L-07,0.0
normal,TCGA-EM-A1YC-11A-11R-A14Y-07,0.0
normal,TCGA-FY-A3TY-11A-12R-A22U-07,0.0
normal,TCGA-EL-A3T1-11A-11R-A22L-07,2100.38198072
normal,TCGA-EL-A3MW-11A-11R-A20F-07,0.0
normal,TCGA-EL-A3T6-11A-11R-A220-07,1875.89808621
normal,TCGA-EL-A3GZ-11A-11R-A20F-07,543.9950561730001
normal,TCGA-EL-A3H2-11A-11R-A20F-07,0.0
normal,TCGA-EL-A3ZQ-11A-11R-A23N-07,0.0
normal,TCGA-EL-A3N3-11A-11R-A20F-07,5250.515206800002
normal,TCGA-BJ-A2N8-11A-11R-A18C-07,932.726915747
normal,TCGA-KS-A41J-11A-12R-A23N-07,382.20747750699996
normal,TCGA-BJ-A28R-11A-11R-A16R-07,4582.08810846
normal,TCGA-GE-A2C6-11A-11R-A16R-07,0.0
normal,TCGA-EL-A3T8-11A-11R-A22L-07,475.19166856
normal,TCGA-EM-A1CV-11A-11R-A13Y-07,519.898058389
normal,TCGA-EL-A3ZP-11A-11R-A23N-07,530.079914848
normal,TCGA-EL-A3MY-11A-12R-A21D-07,0.0
normal,TCGA-EL-A3ZM-11A-12R-A23N-07,0.0
normal,TCGA-EL-A3N2-11A-11R-A20F-07,0.0
normal,TCGA-EL-A3TB-11A-11R-A22L-07,0.0
normal,TCGA-EL-A3T0-11A-12R-A22L-07,987.9951183160001
normal,TCGA-BJ-A2N7-11A-11R-A18C-07,0.0
normal,TCGA-DO-A1JZ-11A-11R-A13Y-07,0.0
normal,TCGA-BJ-A2NA-11A-11R-A19O-07,0.0
normal,TCGA-EL-A3ZT-11A-13R-A23N-07,989.3770585230001
