tissue,barcode,fpkm
normal,TCGA-BK-A0CB-11A-33R-A104-07,1415.43217391
normal,TCGA-AX-A0IZ-11A-11R-A27V-07,0.0
normal,TCGA-FL-A1YN-11A-11R-A32Y-07,651.724789656
normal,TCGA-AX-A2HA-11A-11R-A18M-07,5081.45573544
normal,TCGA-AX-A0J0-11A-11R-A27V-07,0.0
normal,TCGA-AJ-A3NC-11A-11R-A22K-07,0.0
normal,TCGA-FL-A1YQ-11A-11R-A32Y-07,815.2819713839999
normal,TCGA-FL-A1YI-11A-11R-A16F-07,1801.98362357
normal,TCGA-E6-A1M0-11A-11R-A144-07,0.0
normal,TCGA-FL-A1YH-11A-11R-A16F-07,1849.73493298
normal,TCGA-FL-A1YF-11A-12R-A16F-07,667.804605715
normal,TCGA-BK-A4ZD-11A-12R-A27V-07,0.0
normal,TCGA-FL-A1YT-11A-12R-A32Y-07,1891.27978175
normal,TCGA-AJ-A3NE-11A-11R-A22K-07,0.0
normal,TCGA-FL-A1YV-11A-12R-A32Y-07,0.0
normal,TCGA-DI-A2QU-11A-11R-A18M-07,0.0
normal,TCGA-AX-A1CF-11A-11R-A137-07,4002.79662057
normal,TCGA-AX-A2HD-11A-11R-A32Y-07,0.0
normal,TCGA-FL-A1YG-11A-12R-A16F-07,643.191050897
normal,TCGA-BG-A3PP-11A-11R-A22K-07,0.0
normal,TCGA-FL-A1YU-11A-11R-A32Y-07,4321.629081300001
normal,TCGA-FL-A3WE-11A-11R-A22K-07,2324.98730702
normal,TCGA-FL-A1YM-11A-12R-A17B-07,0.0
normal,TCGA-BK-A13C-11A-11R-A118-07,0.0
normal,TCGA-AX-A1CK-11A-11R-A137-07,1085.31910552
normal,TCGA-BG-A2AD-11A-11R-A16F-07,0.0
normal,TCGA-AJ-A3NH-11A-11R-A22K-07,10934.2478652
normal,TCGA-AJ-A2QL-11A-11R-A18M-07,6134.76702839
normal,TCGA-DI-A2QY-11A-11R-A19W-07,19639.9023897
normal,TCGA-AX-A2H8-11A-11R-A17B-07,0.0
normal,TCGA-BG-A3EW-11A-22R-A22K-07,0.0
normal,TCGA-AX-A05Y-11A-11R-A27V-07,631.026500273
