tissue,barcode,fpkm
normal,TCGA-91-6847-11A-01R-1949-07,2307.97707656
normal,TCGA-44-2665-11A-01R-1758-07,1181.42583156
normal,TCGA-49-4512-11A-01R-1858-07,0.0
normal,TCGA-50-5932-11A-01R-1755-07,784.062518009
normal,TCGA-44-2662-11A-01R-1758-07,0.0
normal,TCGA-44-6776-11A-01R-1858-07,140.595513386
normal,TCGA-44-3398-11B-01R-1758-07,336.036681226
normal,TCGA-55-6983-11A-01R-1949-07,0.0
normal,TCGA-49-6743-11A-01R-1858-07,543.027606981
normal,TCGA-44-3396-11A-01R-1758-07,115.43093093600001
normal,TCGA-44-2657-11A-01R-1758-07,0.0
normal,TCGA-44-2668-11A-01R-1758-07,2438.12663787
normal,TCGA-55-6975-11A-01R-1949-07,3591.15426881
normal,TCGA-44-2655-11A-01R-1758-07,1027.91835317
normal,TCGA-73-4676-11A-01R-1755-07,352.465141198
normal,TCGA-55-6984-11A-01R-1949-07,3511.71143221
normal,TCGA-55-6978-11A-01R-1949-07,873.7467922569998
normal,TCGA-91-6828-11A-01R-1858-07,754.28471432
normal,TCGA-55-6982-11A-01R-1949-07,834.7858607310001
normal,TCGA-55-6970-11A-01R-1949-07,147.916204583
normal,TCGA-44-6146-11A-01R-1858-07,883.20731437
normal,TCGA-55-6972-11A-01R-1949-07,3852.85781876
normal,TCGA-50-5931-11A-01R-1858-07,0.0
normal,TCGA-49-6745-11A-01R-1858-07,0.0
normal,TCGA-55-6979-11A-01R-1949-07,0.0
normal,TCGA-50-5936-11A-01R-1628-07,643.5542730230001
normal,TCGA-38-4626-11A-01R-1758-07,0.0
normal,TCGA-49-6761-11A-01R-1949-07,540.713568883
normal,TCGA-55-6985-11A-01R-1949-07,983.819201275
normal,TCGA-50-5930-11A-01R-1755-07,1236.16757457
normal,TCGA-44-6148-11A-01R-1858-07,483.944086229
normal,TCGA-55-6971-11A-01R-1949-07,4655.62924741
normal,TCGA-44-6777-11A-01R-1858-07,612.489706345
normal,TCGA-50-5939-11A-01R-1628-07,251.09653858400003
normal,TCGA-55-6986-11A-01R-1949-07,359.11542688099996
normal,TCGA-55-6980-11A-01R-1949-07,0.0
normal,TCGA-91-6836-11A-01R-1858-07,156.780211076
normal,TCGA-50-6595-11A-01R-1858-07,276.64415152099997
normal,TCGA-91-6829-11A-01R-1858-07,263.297494375
normal,TCGA-49-6742-11A-01R-1858-07,244.641614713
normal,TCGA-91-6835-11A-01R-1858-07,241.575346656
normal,TCGA-91-6849-11A-01R-1949-07,142.998629787
normal,TCGA-91-6831-11A-02R-1858-07,889.3980198439999
normal,TCGA-55-6968-11A-01R-1949-07,1746.52174241
normal,TCGA-44-6145-11A-01R-1858-07,1063.48832546
normal,TCGA-49-4490-11A-01R-1858-07,425.79681487
normal,TCGA-38-4632-11A-01R-1755-07,0.0
normal,TCGA-44-6778-11A-01R-1858-07,1594.63582732
normal,TCGA-55-6981-11A-01R-1949-07,1368.05876907
normal,TCGA-44-2661-11A-01R-1758-07,970.6272316710001
normal,TCGA-38-4625-11A-01R-1758-07,150.296062578
normal,TCGA-38-4627-11A-01R-1758-07,0.0
normal,TCGA-49-6744-11A-01R-1858-07,515.802645655
normal,TCGA-50-5935-11A-01R-1858-07,287.944290842
normal,TCGA-50-5933-11A-01R-1755-07,0.0
normal,TCGA-44-6144-11A-01R-1755-07,119.49846256299999
normal,TCGA-44-5645-11A-01R-1628-07,280.036061177
normal,TCGA-44-6147-11A-01R-1858-07,647.38495322
normal,TCGA-55-6969-11A-01R-1949-07,1246.03061373
cancer,TCGA-55-7573-01A-11R-2039-07,0.0
cancer,TCGA-05-4430-01A-02R-1206-07,0.0
cancer,TCGA-44-6145-01A-11R-1755-07,127.418360667
cancer,TCGA-62-A470-01A-11R-A24H-07,949.2826745469999
cancer,TCGA-44-6147-01A-11R-A278-07,107.65338023
cancer,TCGA-05-5429-01A-01R-1628-07,0.0
cancer,TCGA-97-A4M6-01A-11R-A24X-07,170.471272948
cancer,TCGA-44-2661-01A-01R-1107-07,0.0
cancer,TCGA-05-4250-01A-01R-1107-07,264.992935951
cancer,TCGA-97-A4M7-01A-11R-A24X-07,0.0
cancer,TCGA-44-7659-01A-11R-2066-07,0.0
cancer,TCGA-50-5044-01A-21R-1858-07,0.0
cancer,TCGA-05-4390-01A-02R-1755-07,0.0
cancer,TCGA-78-8648-01A-11R-2403-07,0.0
cancer,TCGA-49-6745-01A-11R-1858-07,0.0
cancer,TCGA-44-2668-01A-01R-0946-07,871.6418804860001
cancer,TCGA-97-8552-01A-11R-2403-07,2290.38719912
cancer,TCGA-75-7025-01A-12R-1949-07,342.96995449400004
cancer,TCGA-53-7624-01A-11R-2066-07,86.9886545917
cancer,TCGA-78-7152-01A-11R-2039-07,196.015629502
cancer,TCGA-55-8621-01A-11R-2403-07,598.21218307
cancer,TCGA-38-4628-01A-01R-1206-07,0.0
cancer,TCGA-49-6767-01A-11R-1858-07,0.0
cancer,TCGA-55-A492-01A-11R-A24H-07,0.0
cancer,TCGA-95-A4VP-01A-21R-A262-07,0.0
cancer,TCGA-95-7567-01A-11R-2066-07,0.0
cancer,TCGA-97-7938-01A-11R-2170-07,0.0
cancer,TCGA-J2-A4AD-01A-11R-A24H-07,0.0
cancer,TCGA-53-A4EZ-01A-12R-A24X-07,0.0
cancer,TCGA-44-3917-01B-02R-A277-07,0.0
cancer,TCGA-67-6216-01A-11R-1755-07,0.0
cancer,TCGA-55-8302-01A-11R-2326-07,223.787391237
cancer,TCGA-91-6847-01A-11R-1949-07,0.0
cancer,TCGA-78-8660-01A-11R-2403-07,114.726447406
cancer,TCGA-86-8055-01A-11R-2241-07,62.28114405979999
cancer,TCGA-75-7031-01A-11R-1949-07,0.0
cancer,TCGA-L9-A443-01A-12R-A24H-07,0.0
cancer,TCGA-97-7937-01A-11R-2170-07,0.0
cancer,TCGA-NJ-A55R-01A-11R-A262-07,0.0
cancer,TCGA-50-5932-01A-11R-1755-07,166.31888694399998
cancer,TCGA-55-6983-01A-11R-1949-07,0.0
cancer,TCGA-78-7154-01A-11R-2039-07,0.0
cancer,TCGA-50-5930-01A-11R-1755-07,0.0
cancer,TCGA-55-A48X-01A-11R-A24H-07,0.0
cancer,TCGA-97-A4M0-01A-11R-A24X-07,171.3923244
cancer,TCGA-86-A4JF-01A-11R-A24X-07,348.432359262
cancer,TCGA-86-7713-01A-11R-2066-07,48.442651119
cancer,TCGA-MP-A4TD-01A-32R-A262-07,95.63179311479999
cancer,TCGA-44-A479-01A-31R-A24H-07,0.0
cancer,TCGA-38-4630-01A-01R-1206-07,83.2868072406
cancer,TCGA-55-7994-01A-11R-2187-07,63.3012974962
cancer,TCGA-38-4629-01A-02R-1206-07,0.0
cancer,TCGA-97-A4M2-01A-12R-A24X-07,606.495155902
cancer,TCGA-05-5420-01A-01R-1628-07,0.0
cancer,TCGA-38-4626-01A-01R-1206-07,0.0
cancer,TCGA-55-8620-01A-11R-2403-07,223.919030878
cancer,TCGA-L4-A4E6-01A-11R-A24H-07,423.42864571
cancer,TCGA-86-8054-01A-11R-2241-07,0.0
cancer,TCGA-67-4679-01B-01R-1755-07,112.35606626100001
cancer,TCGA-69-7979-01A-11R-2187-07,57.86901071649999
cancer,TCGA-05-5425-01A-02R-1628-07,0.0
cancer,TCGA-75-6206-01A-11R-1755-07,0.0
cancer,TCGA-55-8085-01A-11R-2241-07,67.1125445158
cancer,TCGA-78-8640-01A-11R-2403-07,0.0
cancer,TCGA-44-7660-01A-11R-2066-07,0.0
cancer,TCGA-95-8494-01A-11R-2326-07,0.0
cancer,TCGA-69-7980-01A-11R-2187-07,177.547739036
cancer,TCGA-50-5946-01A-11R-1755-07,0.0
cancer,TCGA-05-4402-01A-01R-1206-07,0.0
