tissue,barcode,fpkm
normal,TCGA-22-5482-11A-01R-1635-07,194.227872948
normal,TCGA-51-4079-11A-01R-1758-07,31.4922318505
normal,TCGA-56-7730-11A-01R-2125-07,1325.19530894
normal,TCGA-56-7582-11A-01R-2045-07,445.55412882800005
normal,TCGA-43-6773-11A-01R-1949-07,801.957203287
normal,TCGA-43-7658-11A-01R-2125-07,1981.45125133
normal,TCGA-43-7657-11A-01R-2125-07,1484.94472648
normal,TCGA-56-8201-11A-01R-2247-07,1548.53201654
normal,TCGA-39-5040-11A-01R-2125-07,306.522276794
normal,TCGA-33-4587-11A-01R-2125-07,1809.44671417
normal,TCGA-22-5472-11A-11R-1635-07,296.100877029
normal,TCGA-22-5483-11A-11R-1820-07,236.632212491
normal,TCGA-77-7337-11A-01R-2045-07,170.93055792200002
normal,TCGA-77-7338-11A-01R-2045-07,75.9577676331
normal,TCGA-85-7710-11A-01R-2125-07,4585.44346035
normal,TCGA-56-8623-11A-01R-A28V-07,482.33952419300005
normal,TCGA-77-7138-11A-01R-2045-07,1233.69145569
normal,TCGA-56-8083-11A-01R-2247-07,1193.01123009
normal,TCGA-22-5471-11A-01R-1635-07,2245.30497375
normal,TCGA-43-6647-11A-01R-1820-07,1184.6093001
normal,TCGA-56-7823-11A-01R-2247-07,78.19686780880002
normal,TCGA-56-7579-11A-01R-2045-07,1358.43028249
normal,TCGA-22-5478-11A-11R-1635-07,1195.342814
normal,TCGA-58-8386-11A-01R-2296-07,347.58394688199996
normal,TCGA-34-8454-11A-01R-2326-07,667.494105073
normal,TCGA-77-8007-11A-01R-2187-07,422.997335857
normal,TCGA-43-6771-11A-01R-1820-07,931.537263936
normal,TCGA-56-7731-11A-01R-2125-07,347.63685159199997
normal,TCGA-92-7340-11A-01R-2045-07,174.189606083
normal,TCGA-22-5481-11A-01R-1949-07,755.782301443
normal,TCGA-22-5489-11A-01R-1635-07,345.768543632
normal,TCGA-56-8082-11A-01R-2247-07,284.926910549
normal,TCGA-56-8309-11A-01R-2296-07,2049.32625838
normal,TCGA-60-2709-11A-01R-1820-07,118.558702015
normal,TCGA-90-6837-11A-01R-1949-07,924.0078343160001
normal,TCGA-43-5670-11A-01R-2125-07,588.1680353730001
normal,TCGA-22-5491-11A-01R-1858-07,200.771282961
normal,TCGA-56-7222-11A-01R-2045-07,0.0
normal,TCGA-90-7767-11A-01R-2125-07,578.154763884
