tissue,barcode,fpkm
cancer,TCGA-OR-A5JV-01A-11R-A29S-07,20215.0110398
cancer,TCGA-OR-A5JC-01A-11R-A29S-07,18404.1740667
cancer,TCGA-P6-A5OG-01A-22R-A29S-07,29362.125104
cancer,TCGA-OR-A5KV-01A-11R-A29S-07,14144.3946852
cancer,TCGA-OR-A5KX-01A-11R-A29S-07,15368.8661519
cancer,TCGA-OR-A5JO-01A-11R-A29S-07,7461.89582895
cancer,TCGA-OR-A5LM-01A-11R-A29S-07,15767.5694292
cancer,TCGA-OR-A5KO-01A-11R-A29S-07,38653.2081688
cancer,TCGA-OR-A5LS-01A-11R-A29S-07,26949.5815148
cancer,TCGA-OR-A5J5-01A-11R-A29S-07,133301.614385
cancer,TCGA-OR-A5K3-01A-11R-A29S-07,27832.205201300007
cancer,TCGA-OR-A5K9-01A-11R-A29S-07,10199.4502496
cancer,TCGA-OR-A5LN-01A-11R-A29S-07,40868.00370430001
cancer,TCGA-OR-A5JT-01A-11R-A29S-07,11715.4588408
cancer,TCGA-OR-A5JE-01A-11R-A29S-07,28091.5734218
cancer,TCGA-OR-A5LE-01A-11R-A29S-07,31307.955047000003
cancer,TCGA-OR-A5LT-01A-11R-A29S-07,41649.5296206
cancer,TCGA-OR-A5J3-01A-11R-A29S-07,17505.6933289
cancer,TCGA-OR-A5LJ-01A-11R-A29S-07,33968.778120200004
cancer,TCGA-OR-A5K0-01A-11R-A29S-07,21613.628809
cancer,TCGA-OR-A5J9-01A-11R-A29S-07,14558.7068111
cancer,TCGA-OR-A5JY-01A-31R-A29S-07,10551.8995178
cancer,TCGA-OR-A5JX-01A-11R-A29S-07,24167.864617
cancer,TCGA-PK-A5HA-01A-11R-A29S-07,10069.561304100003
cancer,TCGA-OR-A5K4-01A-11R-A29S-07,17006.4609091
cancer,TCGA-OR-A5K6-01A-11R-A29S-07,18677.2015662
cancer,TCGA-OR-A5KY-01A-11R-A29S-07,14231.452637
cancer,TCGA-OR-A5JB-01A-11R-A29S-07,23173.8670876
