tissue,barcode,fpkm
normal,TCGA-MY-A5BF-11A-11R-A26T-07,2993.71618972
normal,TCGA-FU-A3EO-11A-13R-A213-07,13948.535020200005
normal,TCGA-HM-A3JJ-11A-12R-A21T-07,8234.54051697
cancer,TCGA-IR-A3LK-01A-12R-A213-07,29249.52305
cancer,TCGA-VS-A958-01A-11R-A42T-07,16784.557200299998
cancer,TCGA-VS-A9V5-01A-11R-A42T-07,84190.7060835
cancer,TCGA-IR-A3LC-01A-11R-A213-07,8254.89869274
cancer,TCGA-LP-A7HU-01A-11R-A33Z-07,66997.6307489
cancer,TCGA-VS-A9UT-01A-11R-A42T-07,15651.2484479
cancer,TCGA-EA-A3Y4-01A-51R-A24H-07,78902.56533350001
cancer,TCGA-EK-A2IR-01A-11R-A180-07,27220.0978489
cancer,TCGA-C5-A7CG-01A-11R-A32P-07,52805.7955074
cancer,TCGA-C5-A1M7-01A-11R-A13Y-07,27539.1914824
cancer,TCGA-VS-A8QH-01A-11R-A37O-07,32008.659797400003
cancer,TCGA-HM-A4S6-01A-11R-A26T-07,57588.90217560001
cancer,TCGA-MA-AA3X-01A-22R-A42S-07,9310.05818786
cancer,TCGA-DG-A2KM-01A-11R-A180-07,32701.247119200005
cancer,TCGA-EK-A2PG-01A-11R-A18M-07,108136.992313
cancer,TCGA-C5-A1BF-01B-11R-A13Y-07,18158.487277
cancer,TCGA-VS-A8EJ-01A-11R-A37O-07,39484.6217789
cancer,TCGA-C5-A2LY-01A-31R-A18M-07,52748.9484655
cancer,TCGA-EA-A3QE-01A-21R-A21T-07,50155.9041917
cancer,TCGA-C5-A902-01A-11R-A37O-07,49808.8998542
cancer,TCGA-C5-A7CL-01A-11R-A32P-07,51061.0630743
cancer,TCGA-C5-A8ZZ-01A-11R-A37O-07,17913.9102259
cancer,TCGA-VS-A9V1-01A-11R-A42T-07,54096.7936541
cancer,TCGA-DS-A5RQ-01A-11R-A28H-07,13305.4052876
cancer,TCGA-C5-A3HE-01A-21R-A22U-07,55606.2635697
cancer,TCGA-HM-A6W2-01A-21R-A33Z-07,57845.7947915
cancer,TCGA-FU-A5XV-01A-11R-A28H-07,4663.96836663
cancer,TCGA-VS-A9V4-01A-12R-A42T-07,24403.1115129
cancer,TCGA-JX-A3Q8-01A-11R-A21T-07,36617.7928672
cancer,TCGA-EK-A2RO-01A-11R-A18M-07,26036.9956779
cancer,TCGA-EA-A3HQ-01A-11R-A213-07,21285.178376400007
cancer,TCGA-C5-A1MN-01A-11R-A14Y-07,17925.587722
cancer,TCGA-VS-A959-01A-11R-A42T-07,32662.286654000003
cancer,TCGA-C5-A7UC-01A-11R-A352-07,14272.9257442
cancer,TCGA-EK-A2IP-01A-11R-A180-07,135403.14512
cancer,TCGA-UC-A7PI-01A-11R-A42S-07,41790.9286305
cancer,TCGA-DG-A2KJ-01A-11R-A32Y-07,102591.62221
cancer,TCGA-ZJ-A8QQ-01A-11R-A37O-07,48254.9002553
cancer,TCGA-C5-A7UE-01A-11R-A33Z-07,72305.3562885
cancer,TCGA-C5-A901-01A-11R-A37O-07,13506.0961115
cancer,TCGA-EK-A2PK-01A-11R-A18M-07,28056.728316900004
cancer,TCGA-Q1-A73R-01A-11R-A33Z-07,29745.3778941
cancer,TCGA-MA-AA42-01A-12R-A38B-07,26970.8424446
cancer,TCGA-EX-A1H6-01B-11R-A22U-07,117280.412536
cancer,TCGA-UC-A7PF-01A-11R-A352-07,43135.4047314
cancer,TCGA-EA-A1QT-01A-11R-A14Y-07,87133.0827978
cancer,TCGA-EK-A2RA-01A-11R-A18M-07,48877.23046
cancer,TCGA-VS-A94W-01A-12R-A37O-07,36721.106965300016
cancer,TCGA-MA-AA3W-01A-11R-A38B-07,10926.2925161
cancer,TCGA-VS-A8EL-01A-11R-A37O-07,34473.4596063
cancer,TCGA-EK-A2R8-01A-21R-A18M-07,15337.510438
cancer,TCGA-EA-A5ZE-01A-11R-A28H-07,44770.3947575
cancer,TCGA-VS-A953-01A-11R-A38B-07,28886.2608375
cancer,TCGA-C5-A1MK-01A-11R-A14Y-07,14169.1226479
cancer,TCGA-WL-A834-01A-11R-A352-07,56947.3819434
cancer,TCGA-VS-A94Z-01A-11R-A38B-07,29968.4748294
cancer,TCGA-EA-A97N-01A-11R-A38B-07,19165.6122918
cancer,TCGA-VS-A9UY-01A-11R-A42T-07,22466.3566309
