tissue,barcode,fpkm
normal,TCGA-AA-3496-11A-01R-1839-07,5975.47664385
normal,TCGA-A6-2686-11A-01R-A32Z-07,5738.79109757
normal,TCGA-AZ-6600-11A-01R-1774-07,4400.76279889
normal,TCGA-A6-2680-11A-01R-A32Z-07,5737.59076477
normal,TCGA-AA-3655-11A-01R-1723-07,7169.73900846
normal,TCGA-AA-3518-11A-01R-1672-07,5008.18995564
normal,TCGA-AA-3525-11A-01R-A32Z-07,18654.0160197
normal,TCGA-AA-3514-11A-01R-A32Z-07,7939.01129385
normal,TCGA-AA-3712-11A-01R-1723-07,12346.9827061
normal,TCGA-A6-2675-11A-01R-1723-07,2229.23026165
normal,TCGA-AZ-6599-11A-01R-1774-07,7289.25297773
normal,TCGA-AA-3697-11A-01R-1723-07,6161.59511374
normal,TCGA-A6-2684-11A-01R-A32Z-07,4030.87109812
normal,TCGA-A6-5662-11A-01R-1653-07,7975.40963698
normal,TCGA-AA-3516-11A-01R-A32Z-07,3864.80524763
normal,TCGA-AA-3660-11A-01R-1723-07,7853.0056943
normal,TCGA-AA-3517-11A-01R-A32Z-07,6722.94820103
normal,TCGA-A6-2682-11A-01R-A32Z-07,11846.8673921
normal,TCGA-AA-3520-11A-01R-A32Z-07,7135.87577154
normal,TCGA-AA-3511-11A-01R-1839-07,13787.646268900002
normal,TCGA-F4-6704-11A-01R-1839-07,7526.45549105
normal,TCGA-A6-2683-11A-01R-A32Z-07,3593.32217008
normal,TCGA-AZ-6601-11A-01R-1774-07,11252.558716
normal,TCGA-A6-5667-11A-01R-1723-07,15182.743294
normal,TCGA-A6-2685-11A-01R-A32Z-07,8843.14037601
normal,TCGA-AZ-6603-11A-02R-1839-07,10221.747176
normal,TCGA-AA-3534-11A-01R-A32Z-07,10065.6532231
normal,TCGA-AA-3663-11A-01R-1723-07,10137.2584798
normal,TCGA-AA-3662-11A-01R-1723-07,6468.91202603
normal,TCGA-A6-5665-11A-01R-1653-07,12563.0508113
normal,TCGA-AA-3713-11A-01R-1723-07,6411.73861105
normal,TCGA-AA-3527-11A-01R-A32Z-07,4058.56966986
normal,TCGA-AZ-6598-11A-01R-1774-07,15248.8017961
normal,TCGA-A6-2679-11A-01R-A32Z-07,11826.5789879
normal,TCGA-A6-5659-11A-01R-1653-07,8906.30566441
normal,TCGA-AA-3489-11A-01R-1839-07,6688.68731167
normal,TCGA-A6-2678-11A-01R-A32Z-07,9685.51638076
normal,TCGA-AZ-6605-11A-01R-1839-07,2423.092067400001
normal,TCGA-AA-3522-11A-01R-A32Z-07,8518.7965003
normal,TCGA-AA-3531-11A-01R-A32Z-07,11431.8003289
normal,TCGA-A6-2671-11A-01R-A32Z-07,2244.61348878
cancer,TCGA-A6-3809-01A-01R-1022-07,11514.748748200003
cancer,TCGA-A6-3810-01A-01R-A278-07,18718.8409294
cancer,TCGA-AA-3509-01A-01R-1410-07,27131.7920903
cancer,TCGA-A6-2674-01A-02R-0821-07,34677.5141952
cancer,TCGA-A6-6781-01A-22R-1928-07,7630.08338409
cancer,TCGA-G4-6306-01A-11R-1774-07,24055.6165855
cancer,TCGA-A6-2684-01A-01R-1410-07,38279.7403677
cancer,TCGA-AA-3525-01A-02R-0826-07,17398.3645537
cancer,TCGA-AA-3560-01A-01R-0821-07,9185.14028005
cancer,TCGA-AA-3534-01A-01R-0821-07,16588.2411488
cancer,TCGA-AD-A5EJ-01A-11R-A28H-07,19404.2193181
cancer,TCGA-AA-3685-01A-02R-A32Z-07,14598.9470178
cancer,TCGA-AA-3851-01A-01R-1022-07,11374.0733685
cancer,TCGA-AA-3506-01A-01R-1410-07,25381.8380258
cancer,TCGA-A6-2671-01A-01R-1410-07,9750.79408029
cancer,TCGA-A6-6138-01A-11R-1774-07,9569.55255464
cancer,TCGA-AA-3947-01A-01R-1022-07,3213.61544592
cancer,TCGA-CM-4743-01A-01R-1723-07,29146.1888929
cancer,TCGA-A6-2674-01A-02R-A278-07,21367.2562651
cancer,TCGA-F4-6805-01A-11R-1839-07,4426.80281545
cancer,TCGA-AA-3975-01A-01R-1022-07,71849.1885532
cancer,TCGA-CM-6168-01A-11R-1653-07,5344.54690535
cancer,TCGA-AY-A71X-01A-12R-A37K-07,40177.4739468
cancer,TCGA-AA-3989-01A-01R-1022-07,36373.4770425
cancer,TCGA-CM-5341-01A-01R-1410-07,9895.89518268
cancer,TCGA-A6-5659-01A-01R-A278-07,5972.06948418
cancer,TCGA-F4-6807-01A-11R-1839-07,15827.151676499998
cancer,TCGA-F4-6570-01A-11R-1774-07,14808.5842401
cancer,TCGA-AA-3968-01A-01R-1022-07,25976.7248545
cancer,TCGA-A6-5666-01A-01R-1653-07,8378.88479138
cancer,TCGA-AA-3980-01A-02R-1022-07,15267.9525676
cancer,TCGA-AA-3494-01A-01R-1410-07,17479.6653227
cancer,TCGA-A6-3808-01A-01R-1022-07,4613.81237009
cancer,TCGA-5M-AAT5-01A-21R-A41B-07,20781.3798836
cancer,TCGA-CM-4750-01A-01R-1410-07,11287.1992579
cancer,TCGA-DM-A28F-01A-11R-A32Y-07,15248.1497756
cancer,TCGA-AA-3680-01A-01R-0905-07,22379.947567
cancer,TCGA-AA-A01Z-01A-11R-A083-07,14519.7414034
cancer,TCGA-F4-6463-01A-11R-1723-07,8452.34066444
cancer,TCGA-DM-A1D9-01A-11R-A155-07,33920.0208844
cancer,TCGA-AA-3870-01A-01R-1022-07,1528.0426385
cancer,TCGA-D5-6923-01A-11R-A32Z-07,16575.3777736
cancer,TCGA-AZ-4308-01A-01R-1410-07,54212.2953486
cancer,TCGA-AA-A01F-01A-01R-A002-07,24244.9431976
cancer,TCGA-AA-3492-01A-01R-1410-07,4345.80119553
cancer,TCGA-AA-3966-01A-01R-1113-07,13742.910233
cancer,TCGA-AY-A8YK-01A-11R-A41B-07,67030.0356625
cancer,TCGA-D5-6898-01A-11R-1928-07,11034.3610002
cancer,TCGA-DM-A1HB-01A-21R-A180-07,6731.56833481
cancer,TCGA-F4-6856-01A-11R-1928-07,6813.56717496
cancer,TCGA-D5-6534-01A-21R-1928-07,4912.50384068
cancer,TCGA-AZ-4614-01A-01R-1410-07,8567.53820969
cancer,TCGA-AA-A01I-01A-02R-A089-07,4359.73004552
