tissue,barcode,fpkm
cancer,TCGA-G8-6324-01A-11R-2213-07,176549.776002
cancer,TCGA-GS-A9TW-01A-11R-A38C-07,75648.0051767
cancer,TCGA-G8-6914-01A-11R-2213-07,144198.816084
cancer,TCGA-GS-A9TQ-01A-11R-A38C-07,60837.04024480001
cancer,TCGA-FF-A7CX-01A-12R-A38C-07,221816.424282
cancer,TCGA-G8-6907-01A-11R-2213-07,60730.97317590001
cancer,TCGA-GS-A9TU-01A-11R-A38C-07,29854.0454772
cancer,TCGA-GR-A4D9-01B-11R-A31O-07,55665.4723965
cancer,TCGA-G8-6325-01A-11R-2213-07,56728.4778331
cancer,TCGA-GR-A4D6-01A-11R-A31O-07,184209.113445
cancer,TCGA-RQ-A6JB-01A-11R-A31O-07,54375.60881900001
cancer,TCGA-GS-A9U3-01A-11R-A39D-07,58249.3811724
cancer,TCGA-FA-A82F-01A-11R-A38C-07,98499.8319249
cancer,TCGA-FA-A86F-01A-11R-A38C-07,67244.5274048
cancer,TCGA-FA-A6HO-01A-11R-A31O-07,75164.8028283
cancer,TCGA-FF-A7CW-01A-11R-A38C-07,138542.532557
cancer,TCGA-GS-A9TX-01A-11R-A38C-07,77399.6127023
cancer,TCGA-G8-6326-01A-11R-2213-07,104447.244503
cancer,TCGA-VB-A8QN-01A-11R-A38C-07,45536.88819119999
cancer,TCGA-G8-6909-01A-11R-2213-07,47104.4610695
cancer,TCGA-FF-8043-01A-11R-2213-07,73774.6575854
cancer,TCGA-FF-8061-01A-11R-2213-07,115844.255495
cancer,TCGA-FA-A7Q1-01A-11R-A38C-07,73166.7164607
cancer,TCGA-FA-A6HN-01A-11R-A31O-07,114137.222139
cancer,TCGA-GS-A9TZ-01A-11R-A39D-07,52612.2691252
cancer,TCGA-GS-A9TV-01A-11R-A38C-07,59472.2557232
cancer,TCGA-FA-A7DS-01A-11R-A38C-07,51524.0823561
cancer,TCGA-RQ-A68N-01A-11R-A31O-07,159742.991276
cancer,TCGA-FF-8042-01A-11R-2213-07,153024.502604
cancer,TCGA-FF-A7CQ-01A-11R-A38C-07,59162.3015826
cancer,TCGA-FA-8693-01A-11R-2404-07,70703.3361664
cancer,TCGA-RQ-AAAT-01A-11R-A39D-07,162692.148324
cancer,TCGA-FF-8041-01A-11R-2213-07,62453.9219355
cancer,TCGA-FA-A4XK-01A-11R-A31O-07,85849.7537155
cancer,TCGA-GR-A4D5-01A-11R-A31O-07,65132.17145040001
cancer,TCGA-GR-7351-01A-11R-2213-07,60387.7013668
cancer,TCGA-FM-8000-01A-11R-2213-07,173429.075818
cancer,TCGA-GR-7353-01A-11R-2213-07,69426.02250169999
cancer,TCGA-FF-8047-01A-11R-2213-07,190356.832535
cancer,TCGA-G8-6906-01A-11R-2213-07,163562.343019
cancer,TCGA-FF-8062-01A-11R-2213-07,118082.277749
cancer,TCGA-GS-A9TY-01A-11R-A39D-07,166993.23120799998
cancer,TCGA-GR-A4D4-01A-11R-A31O-07,54817.9101795
cancer,TCGA-FF-8046-01A-11R-2213-07,123698.689783
cancer,TCGA-GS-A9TT-01A-11R-A38C-07,37101.7196647
cancer,TCGA-FA-A4BB-01A-11R-A31O-07,137271.500149
cancer,TCGA-GS-A9U4-01A-11R-A39D-07,20900.1306258
cancer,TCGA-FF-A7CR-01A-11R-A38C-07,41522.8339654
