tissue,barcode,fpkm
normal,TCGA-V5-A7RE-11A-11R-A354-31,21343.9331607
normal,TCGA-IC-A6RF-11A-21R-A336-31,2511.34500104
normal,TCGA-L5-A4OQ-11A-12R-A260-31,7484.38813581
normal,TCGA-IC-A6RE-11A-12R-A336-31,2864.75081681
normal,TCGA-L5-A43C-11A-11R-A24K-31,5463.99120516
normal,TCGA-L5-A4OF-11A-12R-A260-31,18388.515382
normal,TCGA-L5-A4OG-11A-12R-A260-31,19912.6420679
normal,TCGA-L5-A4OO-11A-12R-A260-31,6579.85642753
normal,TCGA-L5-A4OR-11A-11R-A260-31,13479.8139786
normal,TCGA-V5-AASX-11A-11R-A38D-31,5195.73155808
normal,TCGA-L5-A4OJ-11A-12R-A260-31,20665.673638
cancer,TCGA-L5-A4OP-01A-11R-A260-31,20851.4032528
cancer,TCGA-LN-A9FO-01A-11R-A38D-31,34375.2148451
cancer,TCGA-IG-A3I8-01A-11R-A24K-31,17303.559870200002
cancer,TCGA-VR-A8EX-01A-11R-A36D-31,42756.87056690001
cancer,TCGA-RE-A7BO-01A-11R-A336-31,36012.9958539
cancer,TCGA-VR-A8EZ-01A-11R-A36D-31,47811.85281
cancer,TCGA-LN-A49Y-01A-11R-A260-31,40709.7926825
cancer,TCGA-VR-A8EQ-01A-11R-A36D-31,13382.6733381
cancer,TCGA-R6-A6XQ-01B-11R-A336-31,7781.61860099
cancer,TCGA-R6-A6Y0-01B-11R-A336-31,14183.7753084
cancer,TCGA-VR-A8EP-01A-31R-A406-31,9166.38361214
cancer,TCGA-IG-A50L-01A-11R-A260-31,23959.3170796
cancer,TCGA-LN-A9FQ-01A-31R-A38D-31,16528.6865686
cancer,TCGA-IG-A97I-01A-11R-A38D-31,7927.20186289
cancer,TCGA-VR-A8ER-01A-11R-A36D-31,3520.09257843
cancer,TCGA-L5-A4OE-01A-11R-A260-31,9792.27324359
cancer,TCGA-IC-A6RF-01A-13R-A336-31,15719.8206201
cancer,TCGA-JY-A939-01A-12R-A37I-31,9228.12689652
cancer,TCGA-JY-A93C-01A-11R-A38D-31,42411.5472951
cancer,TCGA-LN-A49X-01A-31R-A260-31,7352.29735899
cancer,TCGA-L5-A8NT-01A-11R-A37I-31,18129.2852068
cancer,TCGA-KH-A6WC-01A-11R-A336-31,7060.20590586
cancer,TCGA-VR-A8ET-01A-11R-A406-31,10039.4823559
cancer,TCGA-R6-A8W8-01B-11R-A37I-31,20318.6632001
cancer,TCGA-R6-A6L4-01A-11R-A31P-31,13987.251696
cancer,TCGA-2H-A9GL-01A-12R-A37I-31,21057.5444004
cancer,TCGA-L5-A8NJ-01A-11R-A36D-31,32291.8684908
cancer,TCGA-L5-A88V-01A-11R-A354-31,26027.7804303
cancer,TCGA-LN-A9FP-01A-31R-A38D-31,10131.4925897
cancer,TCGA-IG-A3QL-01A-11R-A24K-31,11134.2628175
cancer,TCGA-LN-A5U5-01A-21R-A28J-31,17174.940545200006
cancer,TCGA-LN-A4A4-01A-11R-A260-31,7480.10674112
cancer,TCGA-L5-A4OO-01A-11R-A260-31,35151.482994599995
cancer,TCGA-L5-A4OG-01A-11R-A260-31,6594.22953309
cancer,TCGA-2H-A9GM-01A-11R-A37I-31,15687.5020407
cancer,TCGA-LN-A4A9-01A-11R-A28J-31,19701.2665841
cancer,TCGA-R6-A8WC-01A-11R-A37I-31,28323.2752772
cancer,TCGA-LN-A7HW-01A-22R-A354-31,6260.33566746
cancer,TCGA-L5-A8NV-01A-11R-A37I-31,15493.6014947
cancer,TCGA-L5-A8NF-01A-11R-A37I-31,20093.5373865
cancer,TCGA-IC-A6RE-01A-11R-A336-31,24620.7773372
cancer,TCGA-L5-A4OS-01A-11R-A28J-31,27867.1947036
cancer,TCGA-LN-A49M-01A-21R-A260-31,9230.90905992
cancer,TCGA-L5-A8NQ-01A-11R-A36D-31,31205.9893791
cancer,TCGA-S8-A6BW-01A-11R-A31P-31,10118.4553108
cancer,TCGA-2H-A9GO-01A-11R-A37I-31,35848.6491122
cancer,TCGA-VR-A8EW-01A-11R-A36D-31,7408.69158061
cancer,TCGA-L5-A4OI-01A-11R-A36D-31,12540.4878608
cancer,TCGA-V5-AASX-01A-11R-A38D-31,12768.744963
cancer,TCGA-LN-A4A5-01A-21R-A260-31,12044.7522771
cancer,TCGA-Z6-A8JD-01A-11R-A36D-31,27368.303296900005
cancer,TCGA-L7-A56G-01A-21R-A260-31,11912.8929269
cancer,TCGA-VR-A8EU-01A-11R-A36D-31,15323.348931
cancer,TCGA-2H-A9GG-01A-11R-A37I-31,29105.180215900004
