tissue,barcode,fpkm
normal,TCGA-CV-6961-11A-01R-1915-07,852.2780540110001
normal,TCGA-CV-6933-11A-01R-1915-07,1648.49815636
normal,TCGA-CV-7255-11A-01R-2016-07,4231.65228302
normal,TCGA-CV-7178-11A-01R-2016-07,10472.9292904
normal,TCGA-CV-7424-11A-01R-2081-07,4125.33595705
normal,TCGA-CV-6938-11A-01R-1915-07,1999.01048981
normal,TCGA-CV-7245-11A-01R-2016-07,1468.93712117
normal,TCGA-CV-7183-11A-01R-2016-07,866.492559428
normal,TCGA-HD-8635-11A-01R-2403-07,7875.04921906
normal,TCGA-CV-7425-11A-01R-2081-07,4082.00614274
normal,TCGA-CV-6962-11A-01R-1915-07,1547.80112922
normal,TCGA-CV-6934-11A-01R-1915-07,895.1060969260001
normal,TCGA-CV-6939-11A-01R-1915-07,999.906008835
normal,TCGA-CV-7432-11A-01R-2132-07,2824.83641372
normal,TCGA-CV-7238-11A-01R-2016-07,4323.02107535
normal,TCGA-CV-7440-11A-01R-2187-07,873.7791121360001
normal,TCGA-H7-A6C5-11A-11R-A30B-07,3161.46752793
normal,TCGA-WA-A7GZ-11A-11R-A34R-07,8219.39876742
normal,TCGA-CV-7252-11A-01R-2016-07,2559.02061163
normal,TCGA-CV-6955-11A-01R-2016-07,3104.27251374
normal,TCGA-CV-7423-11A-01R-2081-07,2532.06303951
normal,TCGA-CV-6936-11A-01R-1915-07,1723.80109634
normal,TCGA-CV-6943-11A-01R-1915-07,3884.87433888
normal,TCGA-CV-7261-11A-01R-2016-07,1441.20530882
normal,TCGA-CV-7406-11A-01R-2081-07,1483.72190155
normal,TCGA-CV-7235-11A-01R-2016-07,3459.78775191
normal,TCGA-CV-7242-11A-01R-2016-07,2594.42944864
normal,TCGA-CV-7177-11A-01R-2016-07,6099.25991026
normal,TCGA-CV-7103-11A-01R-2016-07,595.810676391
normal,TCGA-H7-A6C4-11A-21R-A466-07,2357.0563195
normal,TCGA-CV-6935-11A-01R-1915-07,2873.00182723
normal,TCGA-CV-7250-11A-01R-2016-07,2871.34782503
normal,TCGA-CV-7091-11A-01R-2016-07,1062.08074363
normal,TCGA-HD-A6I0-11A-11R-A31N-07,22346.52328
normal,TCGA-CV-6959-11A-01R-1915-07,2403.39782771
normal,TCGA-HD-A6HZ-11A-11R-A31N-07,17812.611328799998
normal,TCGA-CV-7097-11A-01R-2016-07,6798.70661405
normal,TCGA-CV-6960-11A-01R-2016-07,2261.57701273
normal,TCGA-CV-7434-11A-01R-2132-07,2318.48790074
normal,TCGA-CV-6956-11A-01R-2016-07,806.521858355
normal,TCGA-CV-7437-11A-01R-2132-07,3077.90868417
normal,TCGA-CV-7438-11A-01R-2132-07,2373.88442269
normal,TCGA-CV-7101-11A-01R-2016-07,1034.43558479
normal,TCGA-CV-7416-11A-01R-2081-07,2565.60245477
cancer,TCGA-D6-A6EQ-01A-11R-A31N-07,7491.9996147
cancer,TCGA-CR-7402-01A-11R-2016-07,4853.03283354
cancer,TCGA-P3-A6T3-01A-11R-A34R-07,3901.99590993
cancer,TCGA-CN-5355-01A-01R-1436-07,2487.79487833
cancer,TCGA-D6-6823-01A-11R-1915-07,8327.03375128
cancer,TCGA-CV-6953-01A-11R-1915-07,3391.14817071
cancer,TCGA-CN-A6V7-01A-12R-A34R-07,20207.3086161
cancer,TCGA-D6-A74Q-01A-11R-A34R-07,14188.5303599
cancer,TCGA-CR-5249-01A-01R-1514-07,10075.8205496
cancer,TCGA-CN-6989-01A-11R-1915-07,6436.56224819
cancer,TCGA-DQ-7592-01A-11R-2081-07,5632.44626998
cancer,TCGA-TN-A7HL-01A-11R-A34R-07,55149.3660359
cancer,TCGA-CV-6441-01A-11R-1686-07,8373.35848531
cancer,TCGA-CR-7365-01A-11R-2016-07,2531.22775684
cancer,TCGA-BA-A4II-01A-11R-A266-07,8199.32320444
cancer,TCGA-CR-7392-01A-11R-2016-07,2565.60245477
cancer,TCGA-CV-6939-01A-11R-1915-07,6911.316426899999
cancer,TCGA-CV-6950-01A-11R-1915-07,3994.09164915
cancer,TCGA-CV-7425-01A-11R-2081-07,3866.30323416
cancer,TCGA-CR-6473-01A-11R-1873-07,27317.2958548
cancer,TCGA-CR-7372-01A-11R-2016-07,4014.80200144
cancer,TCGA-CV-A6JY-01A-11R-A31N-07,2621.33733641
cancer,TCGA-CV-5976-01A-11R-1686-07,2307.76012034
cancer,TCGA-F7-7848-01A-11R-2132-07,15259.6804194
cancer,TCGA-CV-5430-01A-02R-1686-07,11957.3203379
cancer,TCGA-CV-7411-01A-11R-2081-07,1405.13626485
cancer,TCGA-CQ-5331-01A-02R-1873-07,4125.02578141
cancer,TCGA-CN-A6V6-01A-12R-A34R-07,20949.9426405
cancer,TCGA-CV-7252-01A-11R-2016-07,2741.90828591
cancer,TCGA-CR-6493-01A-11R-1873-07,5428.30993913
cancer,TCGA-CR-7374-01A-11R-2016-07,8523.12323333
