tissue,barcode,fpkm
normal,TCGA-KN-8426-11A-01R-2315-07,7343.784395300001
normal,TCGA-KN-8422-11A-01R-2315-07,8141.95853649
normal,TCGA-KN-8434-11A-01R-2315-07,15272.5857293
normal,TCGA-KL-8326-11A-01R-2315-07,12994.6291273
normal,TCGA-KN-8435-11A-01R-2315-07,10632.8312865
normal,TCGA-KN-8419-11A-01R-2315-07,9061.30161305
normal,TCGA-KN-8423-11A-01R-2315-07,9954.38784631
normal,TCGA-KN-8429-11A-01R-2315-07,10278.962093
normal,TCGA-KN-8432-11A-01R-2315-07,39646.5117017
normal,TCGA-KN-8424-11A-01R-2315-07,11971.5482343
normal,TCGA-KL-8336-11A-01R-2315-07,5620.20576376
normal,TCGA-KL-8339-11A-01R-2315-07,3149.54607167
normal,TCGA-KN-8430-11A-01R-2315-07,9557.98656668
normal,TCGA-KN-8433-11A-01R-2315-07,9151.43334325
normal,TCGA-KL-8324-11A-01R-2315-07,4370.80989578
normal,TCGA-KN-8425-11A-01R-2315-07,10790.8506535
normal,TCGA-KO-8403-11A-01R-2315-07,9282.92728572
normal,TCGA-KL-8329-11A-01R-2315-07,0.0
normal,TCGA-KO-8415-11A-01R-2315-07,10573.0256857
normal,TCGA-KN-8437-11A-01R-2315-07,18130.4834411
normal,TCGA-KN-8436-11A-01R-2315-07,11857.7002994
normal,TCGA-KN-8428-11A-01R-2315-07,7685.64448198
normal,TCGA-KN-8427-11A-01R-2315-07,9198.6926818
normal,TCGA-KN-8431-11A-01R-2315-07,5996.55078399
cancer,TCGA-KL-8340-01A-11R-2315-07,15141.9675939
cancer,TCGA-KL-8336-01A-11R-2315-07,14732.6588056
cancer,TCGA-KL-8325-01A-11R-2315-07,5627.15062663
cancer,TCGA-KO-8405-01A-11R-2315-07,7346.30834231
cancer,TCGA-KL-8323-01A-21R-2315-07,13449.2804769
cancer,TCGA-KN-8432-01A-11R-2315-07,12878.4336677
cancer,TCGA-KL-8339-01A-11R-2315-07,8734.73059907
cancer,TCGA-KN-8433-01A-11R-2315-07,13902.525915200002
cancer,TCGA-KN-8437-01A-11R-2315-07,4098.96635455
cancer,TCGA-KL-8343-01A-11R-2315-07,3384.32708458
cancer,TCGA-KM-8442-01A-11R-2315-07,10863.1226182
cancer,TCGA-KO-8413-01A-11R-2315-07,11479.411948
cancer,TCGA-KL-8346-01A-11R-2315-07,18291.6791152
cancer,TCGA-KL-8330-01A-11R-2315-07,19425.1712791
cancer,TCGA-KM-8639-01A-11R-2403-07,13611.3569863
cancer,TCGA-KO-8409-01A-11R-2315-07,48193.4583773
cancer,TCGA-KN-8431-01A-11R-2315-07,12394.4611632
cancer,TCGA-KL-8326-01A-11R-2315-07,7946.52996709
cancer,TCGA-KL-8331-01A-11R-2315-07,36270.8604225
cancer,TCGA-KL-8333-01A-11R-2315-07,3952.78095708
cancer,TCGA-KL-8324-01A-11R-2315-07,19697.990411
cancer,TCGA-KO-8414-01A-11R-2315-07,24919.0990844
cancer,TCGA-KN-8434-01A-11R-2315-07,23831.560602
cancer,TCGA-KL-8341-01A-11R-2315-07,8973.18655801
cancer,TCGA-KL-8334-01A-11R-2315-07,14919.7593683
cancer,TCGA-KN-8435-01A-11R-2315-07,25646.4299237
cancer,TCGA-KO-8408-01A-11R-2315-07,20937.8118109
cancer,TCGA-KM-8440-01A-11R-2315-07,14529.9246489
cancer,TCGA-KN-8421-01A-11R-2315-07,14200.5000154
cancer,TCGA-KM-8438-01A-11R-2315-07,18934.6655858
cancer,TCGA-KO-8417-01A-11R-2315-07,15598.6144405
cancer,TCGA-KO-8407-01A-11R-2315-07,27720.826879000004
cancer,TCGA-KN-8424-01A-11R-2315-07,9410.43617372
cancer,TCGA-KN-8428-01A-11R-2315-07,39353.2785554
cancer,TCGA-KO-8403-01A-11R-2315-07,11616.4694819
cancer,TCGA-KN-8429-01A-11R-2315-07,20359.2968991
cancer,TCGA-KL-8344-01A-11R-2315-07,3895.59569794
cancer,TCGA-KL-8335-01A-11R-2315-07,35536.5826556
cancer,TCGA-KM-8441-01A-11R-2315-07,2565.8664328
cancer,TCGA-KN-8426-01A-11R-2315-07,10521.0494359
cancer,TCGA-KN-8419-01A-11R-2315-07,12483.6111539
cancer,TCGA-KL-8342-01A-11R-2315-07,23599.3256803
cancer,TCGA-KL-8329-01A-11R-2315-07,3622.02699497
cancer,TCGA-KO-8404-01A-11R-2315-07,284962.065294
cancer,TCGA-KL-8337-01A-11R-2315-07,13748.4955973
cancer,TCGA-KM-8439-01A-11R-2315-07,11567.7602868
cancer,TCGA-KO-8411-01A-11R-2315-07,7475.95678897
cancer,TCGA-KM-8476-01A-11R-2315-07,59666.4839177
cancer,TCGA-KN-8427-01A-11R-2315-07,11431.9500598
cancer,TCGA-KO-8415-01A-11R-2315-07,31812.7431245
cancer,TCGA-KN-8423-01A-11R-2315-07,6418.95903741
cancer,TCGA-KO-8416-01A-11R-2315-07,16823.7172354
cancer,TCGA-KL-8338-01A-11R-2315-07,18404.1740667
cancer,TCGA-KO-8410-01A-11R-2315-07,7227.60772689
cancer,TCGA-KL-8332-01A-11R-2315-07,3697.75442769
cancer,TCGA-KL-8345-01A-11R-2315-07,9338.9172734
cancer,TCGA-KO-8406-01A-11R-2315-07,15694.5292913
cancer,TCGA-KL-8328-01A-11R-2315-07,60839.17069169999
cancer,TCGA-KL-8327-01A-11R-2315-07,116201.642491
cancer,TCGA-KN-8436-01A-11R-2315-07,18567.1247979
cancer,TCGA-KM-8477-01A-11R-2315-07,1279.67445082
cancer,TCGA-KM-8443-01A-11R-2315-07,83046.98810369999
cancer,TCGA-KN-8430-01A-11R-2315-07,30777.0518607
cancer,TCGA-KN-8418-01A-11R-2315-07,15393.6147286
cancer,TCGA-KN-8425-01A-11R-2315-07,13136.1934736
