tissue,barcode,fpkm
cancer,TCGA-HT-8018-01A-11R-2404-07,12511.8373711
cancer,TCGA-DU-7294-01A-11R-2027-07,6058.60619601
cancer,TCGA-S9-A6UA-01A-12R-A33Z-07,10062.562891
cancer,TCGA-FG-A60K-01A-11R-A29R-07,25000.156251
cancer,TCGA-DB-A64X-01A-11R-A29R-07,35647.957324300005
cancer,TCGA-FG-A70Y-01A-12R-A34R-07,16711.356067200002
cancer,TCGA-HT-7470-01A-12R-2090-07,6825.0849171
cancer,TCGA-QH-A65R-01A-21R-A31N-07,37263.46556
cancer,TCGA-TQ-A8XE-02A-11R-A36H-07,25582.3305912
cancer,TCGA-QH-A6CX-01A-11R-A32Q-07,30537.3544638
cancer,TCGA-IK-8125-01A-11R-2256-07,22728.3802543
cancer,TCGA-TM-A84Q-01A-11R-A36H-07,26738.0155758
cancer,TCGA-HT-7471-01A-11R-2256-07,30796.2818622
cancer,TCGA-DU-A7TD-01A-12R-A34F-07,32591.2588641
cancer,TCGA-HT-A61C-01A-11R-A29R-07,68315.5634487
cancer,TCGA-HW-A5KJ-01A-12R-A27Q-07,77336.0564218
cancer,TCGA-S9-A6U8-01A-21R-A33Z-07,28251.8105607
cancer,TCGA-TQ-A7RK-02A-11R-A36H-07,36483.8630237
cancer,TCGA-DU-7019-01A-11R-2027-07,1715.69699762
cancer,TCGA-P5-A5F2-01A-11R-A28M-07,29758.5392128
cancer,TCGA-CS-4942-01A-01R-1470-07,2959.95915256
cancer,TCGA-DU-A6S2-01A-21R-A32Q-07,31244.8862977
cancer,TCGA-HT-7468-01A-11R-2027-07,8165.57166351
cancer,TCGA-TM-A84C-01A-11R-A36H-07,13025.7928665
cancer,TCGA-FG-6692-01A-11R-1896-07,26053.9320886
cancer,TCGA-DU-A5TS-01A-11R-A28M-07,73202.5123102
cancer,TCGA-IK-7675-01A-11R-2090-07,11037.9788234
cancer,TCGA-HT-A619-01A-11R-A29R-07,11550.558527299998
cancer,TCGA-E1-A7YD-01A-11R-A34F-07,79582.34295980001
cancer,TCGA-HT-A74O-01A-11R-A32Q-07,25323.6876848
cancer,TCGA-P5-A5F4-01A-11R-A28M-07,34098.8913314
cancer,TCGA-HT-7879-01A-11R-2403-07,42336.8807255
cancer,TCGA-P5-A781-01A-11R-A32Q-07,26320.736047
cancer,TCGA-CS-6667-01A-12R-2027-07,24604.3783715
cancer,TCGA-VM-A8C9-01A-11R-A36H-07,10842.4590697
cancer,TCGA-DU-A7TG-01A-21R-A34R-07,5389.01261164
cancer,TCGA-HT-7601-01A-11R-2090-07,11230.1431417
cancer,TCGA-HW-7493-01A-11R-2027-07,4115.97373391
cancer,TCGA-HW-7490-01A-11R-2027-07,5884.0457843
cancer,TCGA-QH-A6CU-01A-11R-A31N-07,37472.6119292
cancer,TCGA-FG-7636-01A-11R-2090-07,11167.7813974
cancer,TCGA-HW-A5KM-01A-11R-A27Q-07,8914.58349194
cancer,TCGA-HT-7690-01A-11R-2256-07,20576.8150556
cancer,TCGA-FG-6689-01A-11R-1896-07,11276.447969
cancer,TCGA-E1-5303-01A-01R-1470-07,4102.07005105
cancer,TCGA-TM-A84F-01A-11R-A36H-07,21924.6741279
cancer,TCGA-VM-A8C8-01A-11R-A36H-07,46212.306813
cancer,TCGA-TM-A84G-01A-11R-A36H-07,17028.9328868
cancer,TCGA-DU-7290-01A-11R-2027-07,10045.784668200002
cancer,TCGA-DB-5277-01A-01R-1470-07,8903.12597656
cancer,TCGA-HT-7693-01A-11R-2256-07,50208.5136751
cancer,TCGA-DU-7014-01A-11R-2027-07,11382.5768466
cancer,TCGA-DH-A7UV-01A-12R-A34F-07,52410.8643472
cancer,TCGA-DU-6405-01A-11R-1708-07,21428.2710862
cancer,TCGA-HT-7467-01A-11R-2027-07,8479.0610509
cancer,TCGA-DU-7304-01A-12R-2090-07,9501.7046922
cancer,TCGA-P5-A737-01A-11R-A32Q-07,30653.6623012
cancer,TCGA-FG-8187-01A-11R-2256-07,23080.7079902
cancer,TCGA-DB-A4XC-01A-11R-A26U-07,35892.746232
cancer,TCGA-DB-A75O-01A-11R-A32Q-07,17553.667476299994
cancer,TCGA-HT-7688-01A-11R-2256-07,10850.567510100003
cancer,TCGA-E1-A7YY-01A-11R-A34R-07,4191.98548269
cancer,TCGA-P5-A733-01A-11R-A32Q-07,15280.426385
cancer,TCGA-CS-6290-01A-11R-1708-07,18853.3957255
cancer,TCGA-DU-6396-01A-11R-1708-07,11898.6827167
cancer,TCGA-P5-A5F6-01A-11R-A28M-07,11173.1699529
cancer,TCGA-DU-8161-01A-11R-2256-07,28263.3047152
cancer,TCGA-DU-A5TT-01A-11R-A28M-07,32122.3561962
cancer,TCGA-HT-A5R9-01A-11R-A28M-07,15901.9440695
cancer,TCGA-FG-A4MY-01A-11R-A26U-07,70052.0244386
cancer,TCGA-QH-A6CZ-01A-11R-A32Q-07,28315.6650207
cancer,TCGA-HT-7689-01A-11R-2256-07,9985.48197751
cancer,TCGA-FG-8191-01A-11R-2256-07,18064.2201089
cancer,TCGA-DB-A64P-01A-11R-A29R-07,20339.7922879
cancer,TCGA-DB-A64U-01A-11R-A29R-07,30554.4170587
cancer,TCGA-HT-8107-01A-13R-2404-07,4120.56441843
cancer,TCGA-DB-5270-01A-02R-1470-07,4033.26150095
cancer,TCGA-HT-7478-01A-11R-2027-07,3345.09132936
cancer,TCGA-E1-A7YO-01A-11R-A34F-07,25966.3216808
cancer,TCGA-P5-A72X-01A-11R-A32Q-07,22205.7626876
cancer,TCGA-S9-A6U2-01A-21R-A33Z-07,14136.9931181
cancer,TCGA-CS-4943-01A-01R-1470-07,12213.365044700002
cancer,TCGA-HT-7860-01A-11R-2403-07,16788.4509977
cancer,TCGA-E1-A7YS-01A-11R-A34F-07,21783.4170688
cancer,TCGA-DU-A6S7-01A-21R-A32Q-07,34577.4219912
cancer,TCGA-HT-7855-01A-11R-2403-07,20097.8202979
cancer,TCGA-QH-A6X8-01A-12R-A32Q-07,35089.6082846
cancer,TCGA-DB-A75K-01A-11R-A32Q-07,72242.26866989999
cancer,TCGA-DU-6394-01A-11R-1708-07,15068.0700063
cancer,TCGA-DH-A669-02A-11R-A31N-07,39472.0051562
cancer,TCGA-CS-4941-01A-01R-1470-07,15965.9948872
cancer,TCGA-CS-6186-01A-12R-2027-07,50059.7423504
cancer,TCGA-HT-8108-01A-11R-2404-07,27436.6801434
cancer,TCGA-FG-8186-01A-11R-2256-07,25713.3416673
cancer,TCGA-HT-A618-01A-11R-A29R-07,29191.2359569
cancer,TCGA-CS-5393-01A-01R-1470-07,5167.35513062
cancer,TCGA-DU-5872-01A-11R-1708-07,9302.61609499
cancer,TCGA-TQ-A7RM-01A-11R-A33Z-07,47678.9035632
cancer,TCGA-DH-A7UR-01A-11R-A33Z-07,64202.30244269999
cancer,TCGA-FG-A6J1-01A-11R-A31N-07,50865.8573641
cancer,TCGA-DU-6404-02B-11R-A36H-07,28922.5390133
cancer,TCGA-HT-7881-01A-11R-2403-07,17369.5115445
cancer,TCGA-DU-6404-02A-21R-A36H-07,21044.4353252
cancer,TCGA-HW-7495-01A-11R-2027-07,14455.2154538
cancer,TCGA-CS-6668-01A-11R-1896-07,15351.648141999998
cancer,TCGA-HT-7856-01A-11R-2403-07,12607.3174016
cancer,TCGA-FG-7641-01B-11R-2256-07,20541.7264089
cancer,TCGA-HT-7475-01A-11R-2027-07,14288.6457261
cancer,TCGA-HT-7610-01A-21R-2090-07,12829.662179
cancer,TCGA-DU-A5TY-01A-11R-A28M-07,51106.2581536
cancer,TCGA-P5-A5F1-01A-11R-A28M-07,18914.3983248
cancer,TCGA-TQ-A8XE-01A-11R-A36H-07,40598.3544134
cancer,TCGA-HT-7602-01A-21R-2090-07,15225.7820342
cancer,TCGA-HT-7611-01A-11R-2403-07,11705.9245703
cancer,TCGA-HW-7489-01A-11R-2027-07,7753.30867063
cancer,TCGA-E1-A7Z2-01A-21R-A34R-07,41773.3455628
cancer,TCGA-P5-A5EY-01A-11R-A27Q-07,4647.59294522
cancer,TCGA-TQ-A7RK-02B-11R-A40A-07,31047.8783122
cancer,TCGA-HT-8015-01B-11R-A28M-07,3919.25440104
cancer,TCGA-S9-A89V-01A-11R-A36H-07,30051.3039803
cancer,TCGA-S9-A6U6-01A-12R-A33Z-07,36775.3394513
cancer,TCGA-DU-6407-02B-11R-A36H-07,42415.5593737
cancer,TCGA-HW-8320-01A-11R-2404-07,24760.7930528
cancer,TCGA-DB-A64V-01A-11R-A29R-07,42248.8522395
cancer,TCGA-CS-4938-01B-11R-1896-07,6136.78332134
cancer,TCGA-DB-5275-01A-01R-1470-07,25783.4305128
cancer,TCGA-HT-7680-01A-11R-2256-07,2005.44076078
cancer,TCGA-DU-8164-01A-11R-2256-07,17111.6809572
cancer,TCGA-DH-A66F-01A-11R-A29R-07,35025.6457174
cancer,TCGA-DU-5855-01A-11R-1708-07,15451.9038033
cancer,TCGA-DU-7009-01A-11R-2027-07,5678.83464256
cancer,TCGA-DU-5871-01A-12R-1708-07,10045.8617508
cancer,TCGA-E1-5307-01A-01R-1896-07,3377.1249956
cancer,TCGA-HT-8109-01A-11R-2404-07,8444.4031607
cancer,TCGA-HT-7686-01A-11R-2256-07,3332.00211915
cancer,TCGA-DU-7010-01A-11R-2027-07,15062.5204814
cancer,TCGA-P5-A77W-01A-11R-A32Q-07,16947.9214585
cancer,TCGA-DU-A7TI-01A-11R-A33Z-07,18617.9098086
cancer,TCGA-DU-6402-01A-11R-1708-07,12600.0787505
cancer,TCGA-HT-7474-01A-11R-2027-07,8496.64594901
cancer,TCGA-S9-A7IY-01A-11R-A34F-07,30616.411397400007
