tissue,barcode,fpkm
cancer,TCGA-NQ-A57I-01A-11R-A34F-07,25186.955316
cancer,TCGA-3H-AB3M-01A-11R-A40A-07,26814.6837208
cancer,TCGA-MQ-A6BL-01A-11R-A34F-07,15731.3791769
cancer,TCGA-MQ-A4LC-01A-31R-A34F-07,17727.5912483
cancer,TCGA-MQ-A6BR-01A-11R-A34F-07,19429.1360043
cancer,TCGA-TS-A7P7-01A-11R-A40A-07,33077.6288805
cancer,TCGA-MQ-A4LI-01A-11R-A34F-07,11271.256886
cancer,TCGA-UT-A88D-01B-11R-A40A-07,37872.6081991
cancer,TCGA-SH-A7BH-01A-11R-A34F-07,100962.169475
cancer,TCGA-SC-A6LM-01A-11R-A34F-07,10351.870427700003
cancer,TCGA-UD-AABZ-01A-12R-A40A-07,109102.244389
cancer,TCGA-ZN-A9VW-01A-11R-A40A-07,14993.5479378
cancer,TCGA-LK-A4O0-01A-11R-A34F-07,32291.5523533
cancer,TCGA-LK-A4O7-01A-11R-A34F-07,22551.7800402
cancer,TCGA-3U-A98D-01A-12R-A40A-07,8733.45601413
cancer,TCGA-TS-A8AY-01A-21R-A40A-07,15458.9991558
cancer,TCGA-3H-AB3X-01A-11R-A40A-07,14825.4580294
cancer,TCGA-UD-AAC1-01A-11R-A40A-07,18224.3236233
cancer,TCGA-TS-A7P6-01A-21R-A34F-07,27057.1311324
cancer,TCGA-TS-A7P0-01A-11R-A34F-07,43740.0418505
cancer,TCGA-TS-A8AF-01A-11R-A40A-07,20079.0533466
cancer,TCGA-YS-AA4M-01A-11R-A40A-07,20887.995695
cancer,TCGA-3U-A98H-01A-11R-A40A-07,23664.7776676
cancer,TCGA-MQ-A6BQ-01A-11R-A34F-07,17853.1867533
cancer,TCGA-UD-AAC7-01A-11R-A40A-07,13822.2572898
cancer,TCGA-MQ-A4LM-01A-11R-A34F-07,11872.3820691
cancer,TCGA-SH-A9CU-01A-11R-A40A-07,40135.7122216
cancer,TCGA-SC-A6LP-01A-11R-A34F-07,34255.0217862
cancer,TCGA-UD-AABY-01A-12R-A40A-07,18237.1806129
cancer,TCGA-3U-A98J-01A-11R-A40A-07,16204.2436889
cancer,TCGA-TS-A7P3-01A-12R-A34F-07,25031.5240756
cancer,TCGA-ZN-A9VV-01A-11R-A40A-07,37826.4688491
cancer,TCGA-TS-A8AV-01A-12R-A40A-07,19296.3199648
cancer,TCGA-MQ-A6BS-01A-12R-A34F-07,6531.60184923
cancer,TCGA-3U-A98F-01A-11R-A40A-07,31033.067543700006
cancer,TCGA-ZN-A9VP-01A-11R-A40A-07,40016.2384736
cancer,TCGA-SH-A7BD-01A-11R-A34F-07,28298.0492032
cancer,TCGA-TS-A7PB-01A-11R-A34F-07,17488.308897299998
cancer,TCGA-YS-A95C-01A-11R-A40A-07,47924.6926514
cancer,TCGA-NQ-A638-01A-11R-A34F-07,25605.0207632
cancer,TCGA-3U-A98I-01A-11R-A40A-07,3656.54778011
cancer,TCGA-ZN-A9VU-01A-11R-A40A-07,13130.61071
cancer,TCGA-LK-A4O6-01A-11R-A34F-07,46975.1093192
cancer,TCGA-LK-A4O2-01A-11R-A34F-07,32011.772571900005
cancer,TCGA-SH-A7BC-01A-11R-A34F-07,15347.5615176
cancer,TCGA-TS-A7P8-01A-11R-A34F-07,95251.254951
cancer,TCGA-TS-A7OU-01B-11R-A40A-07,26964.0446721
cancer,TCGA-MQ-A4LJ-01A-11R-A34F-07,22700.7968533
cancer,TCGA-SC-A6LN-01A-11R-A34F-07,18536.4141678
cancer,TCGA-3U-A98G-01A-11R-A40A-07,4906.0900768
cancer,TCGA-3H-AB3O-01A-11R-A40A-07,33034.297373400004
cancer,TCGA-LK-A4NW-01A-11R-A34F-07,17048.3738791
cancer,TCGA-MQ-A4KX-01A-11R-A34F-07,10929.9418055
cancer,TCGA-3H-AB3L-01A-11R-A40A-07,13502.026478100002
cancer,TCGA-UD-AAC4-01A-11R-A40A-07,24940.4270189
cancer,TCGA-YS-A95B-01A-11R-A40A-07,12679.7507063
cancer,TCGA-XT-AASU-01A-11R-A40A-07,4791.60765891
cancer,TCGA-3H-AB3U-01A-21R-A40A-07,13407.3418604
cancer,TCGA-3H-AB3K-01A-11R-A40A-07,28471.4674027
cancer,TCGA-SC-A6LR-01A-11R-A34F-07,18246.2979677
cancer,TCGA-UT-A88E-01B-11R-A40A-07,8106.51145399
cancer,TCGA-UD-AAC5-01A-11R-A40A-07,14546.9659185
cancer,TCGA-UD-AAC6-01A-11R-A40A-07,14705.6319474
cancer,TCGA-LK-A4O5-01A-11R-A34F-07,22596.416082900007
cancer,TCGA-TS-A7OZ-01A-21R-A40A-07,36558.8689187
cancer,TCGA-TS-A7OY-01A-11R-A34F-07,23958.357978
cancer,TCGA-MQ-A4LP-01A-11R-A34F-07,23241.6440008
cancer,TCGA-LK-A4NZ-01A-12R-A34F-07,16499.3942365
cancer,TCGA-TS-A8AI-01A-11R-A40A-07,9126.75452849
cancer,TCGA-SC-AA5Z-01A-21R-A40A-07,7709.69651743
cancer,TCGA-3U-A98E-01A-11R-A40A-07,28423.243032200004
