tissue,barcode,fpkm
normal,TCGA-HV-A5A3-11A-11R-A26U-07,40726.0042208
normal,TCGA-H6-A45N-11A-12R-A26U-07,106363.668945
normal,TCGA-YB-A89D-11A-11R-A36G-07,15198.165074899998
normal,TCGA-H6-8124-11A-01R-2404-07,12174.9892474
cancer,TCGA-IB-7886-01A-11R-2156-07,4792.47734416
cancer,TCGA-Z5-AAPL-01A-12R-A41B-07,52716.1251305
cancer,TCGA-3A-A9IU-01A-11R-A39D-07,18662.9468963
cancer,TCGA-3A-A9J0-01A-11R-A41B-07,27197.1079014
cancer,TCGA-LB-A9Q5-01A-11R-A39D-07,17694.6470154
cancer,TCGA-L1-A7W4-01A-12R-A36G-07,14294.0708194
cancer,TCGA-LB-A8F3-01A-11R-A36G-07,18935.7115685
cancer,TCGA-IB-AAUS-01A-12R-A38C-07,30533.3617481
cancer,TCGA-FB-AAPS-01A-12R-A39D-07,24061.1428012
cancer,TCGA-HZ-8317-01A-11R-2404-07,12637.3256049
cancer,TCGA-HZ-A49H-01A-11R-A26U-07,14787.2588753
cancer,TCGA-HZ-8636-01A-21R-2404-07,9095.56112889
cancer,TCGA-IB-7649-01A-11R-2156-07,5283.40166533
cancer,TCGA-OE-A75W-01A-12R-A32O-07,92788.1274543
cancer,TCGA-HZ-7926-01A-11R-2156-07,4515.98687579
cancer,TCGA-HZ-A4BH-01A-11R-A26U-07,22365.6106371
cancer,TCGA-HZ-7918-01A-11R-2156-07,2081.82455267
cancer,TCGA-FB-A545-01A-11R-A26U-07,29246.664417900003
cancer,TCGA-2J-AAB9-01A-11R-A41B-07,14136.9931181
cancer,TCGA-HZ-A9TJ-01A-11R-A41I-07,19564.8476877
cancer,TCGA-HV-A5A4-01A-11R-A26U-07,34583.832736300006
cancer,TCGA-S4-A8RM-01A-11R-A37L-07,19085.598652
cancer,TCGA-HV-AA8V-01A-11R-A41B-07,15942.440432
cancer,TCGA-YY-A8LH-01A-11R-A36G-07,21039.6366853
cancer,TCGA-FB-A4P5-01A-11R-A26U-07,38677.30968
cancer,TCGA-HV-A5A5-01A-11R-A26U-07,20230.4610775
cancer,TCGA-3A-A9I7-01A-21R-A38C-07,14869.1304108
cancer,TCGA-2J-AABT-01A-11R-A41B-07,17789.508071599994
cancer,TCGA-HZ-8005-01A-11R-2204-07,4683.67758851
cancer,TCGA-FB-A5VM-01A-11R-A32O-07,26440.5949412
cancer,TCGA-2L-AAQA-01A-21R-A38C-07,18884.4303486
cancer,TCGA-3A-A9I5-01A-11R-A38C-07,32463.6891657
cancer,TCGA-2J-AABE-01A-12R-A41B-07,16849.767473199998
cancer,TCGA-IB-A5SP-01A-11R-A32O-07,5315.07251586
cancer,TCGA-HV-A5A3-01A-11R-A26U-07,52628.1698352
