tissue,barcode,fpkm
normal,TCGA-P8-A5KD-11A-11R-A35K-07,19126.9027921
normal,TCGA-SQ-A6I4-11A-11R-A35L-07,8710.32338818
normal,TCGA-P8-A5KC-11A-11R-A35K-07,5751.30439584
cancer,TCGA-QR-A70K-01A-12R-A35K-07,76392.43274450001
cancer,TCGA-W2-A7HB-01A-11R-A35L-07,26424.561756
cancer,TCGA-QR-A70C-01A-21R-A35K-07,29708.4898126
cancer,TCGA-QR-A6GT-01A-11R-A35K-07,6153.30225356
cancer,TCGA-QT-A5XM-01A-11R-A35K-07,2336.08017427
cancer,TCGA-WB-A81N-01A-11R-A35L-07,13866.5791038
cancer,TCGA-QT-A5XJ-01A-11R-A35K-07,20367.245884
cancer,TCGA-QT-A5XP-01A-11R-A35K-07,10170.3327326
cancer,TCGA-QR-A70H-01A-12R-A35K-07,19821.286327200003
cancer,TCGA-QR-A6H5-01A-11R-A35K-07,4028.70046209
cancer,TCGA-RW-A685-01A-11R-A35K-07,42329.0617472
cancer,TCGA-SP-A6QC-01A-11R-A35L-07,51137.4269388
cancer,TCGA-RW-A68C-01A-11R-A35K-07,7816.6301934
cancer,TCGA-QR-A70V-01A-11R-A35K-07,69005.56827110001
cancer,TCGA-WB-A822-01A-11R-A35L-07,3390.11091087
cancer,TCGA-QR-A6GW-01A-11R-A35K-07,4275.02671892
cancer,TCGA-QR-A7IP-01A-11R-A35K-07,26633.1763852
cancer,TCGA-TT-A6YP-01A-21R-A35L-07,9318.13390391
cancer,TCGA-QR-A6H1-01A-11R-A35K-07,13618.865457700002
cancer,TCGA-QR-A70O-01A-11R-A35K-07,102067.839251
cancer,TCGA-S7-A7X1-01A-11R-A35L-07,3235.85499918
cancer,TCGA-RT-A6YA-01A-12R-A35K-07,15579.395965600002
cancer,TCGA-QR-A702-01A-11R-A35K-07,17353.523408
cancer,TCGA-W2-A7H5-01B-11R-A35L-07,33799.8826734
cancer,TCGA-RW-A67W-01A-11R-A35K-07,28111.5393335
cancer,TCGA-WB-A80O-01A-11R-A35L-07,10805.0896884
cancer,TCGA-SR-A6MP-01A-11R-A35L-07,7175.15673731
cancer,TCGA-RM-A68W-01A-11R-A35K-07,21694.0460691
cancer,TCGA-QR-A6H4-01A-11R-A35K-07,10470.008185600003
cancer,TCGA-PR-A5PG-01A-11R-A35K-07,4204.83177219
cancer,TCGA-WB-A80Y-01A-11R-A35L-07,8741.68943479
cancer,TCGA-QR-A70T-01A-11R-A35K-07,22595.8990497
cancer,TCGA-P7-A5NY-01A-12R-A35K-07,9978.50320731
cancer,TCGA-QR-A70U-01A-11R-A35K-07,17770.301088099994
cancer,TCGA-QR-A6H2-01A-11R-A35K-07,32039.814809900006
cancer,TCGA-RT-A6YC-01A-12R-A35K-07,57544.412516
cancer,TCGA-RW-A67X-01A-11R-A35K-07,5882.38970611
cancer,TCGA-TT-A6YO-01A-11R-A35L-07,107685.332124
cancer,TCGA-WB-A816-01A-11R-A35L-07,27624.2495412
cancer,TCGA-WB-A80M-01A-11R-A35L-07,26529.421128
cancer,TCGA-P8-A5KD-01A-11R-A35K-07,15556.2396956
cancer,TCGA-WB-A81F-01A-11R-A35L-07,10242.3886889
cancer,TCGA-QR-A70D-01A-11R-A35K-07,9459.78243057
cancer,TCGA-QR-A6GY-01A-11R-A35K-07,8693.40592741
cancer,TCGA-S7-A7WV-01A-11R-A35L-07,7705.72602869
cancer,TCGA-QR-A6H6-01A-11R-A35K-07,10211.9802868
cancer,TCGA-WB-A817-01A-11R-A35L-07,5837.46625945
cancer,TCGA-RW-A689-01A-11R-A35K-07,14797.8866044
cancer,TCGA-WB-A81E-01A-11R-A35L-07,9603.0697476
cancer,TCGA-QT-A7U0-01A-11R-A35K-07,8604.427636
cancer,TCGA-QR-A70G-01B-11R-A35K-07,5368.70955013
cancer,TCGA-S7-A7WM-01A-12R-A35L-07,21752.0352187
cancer,TCGA-QR-A70M-01A-11R-A35K-07,11704.9274048
cancer,TCGA-SR-A6MQ-01A-11R-A35L-07,8494.71642796
cancer,TCGA-QR-A6H3-01A-11R-A35K-07,33114.3540536
cancer,TCGA-QR-A703-01A-11R-A35K-07,17621.3901989
cancer,TCGA-S7-A7WP-01A-11R-A35L-07,5973.74160418
cancer,TCGA-WB-A80Q-01A-11R-A35L-07,74979.5888897
cancer,TCGA-SP-A6QH-01A-21R-A35L-07,45591.8028059
cancer,TCGA-QR-A6GO-01A-11R-A35K-07,8309.58424479
cancer,TCGA-RW-A7CZ-01A-11R-A35K-07,12038.8683464
cancer,TCGA-S7-A7WU-01A-11R-A35L-07,22525.0991845
cancer,TCGA-SR-A6MU-01A-11R-A35L-07,18384.2215796
cancer,TCGA-W2-A7HE-01A-11R-A35L-07,26368.6367576
cancer,TCGA-W2-A7UY-01A-11R-A35L-07,35078.5440491
cancer,TCGA-W2-A7HF-01A-11R-A35L-07,90383.596199
cancer,TCGA-RW-A68D-01A-11R-A35K-07,10283.5694269
cancer,TCGA-QR-A7IN-01A-11R-A35K-07,25593.4890164
cancer,TCGA-W2-A7H7-01A-11R-A35L-07,24512.7678837
cancer,TCGA-WB-A81Q-01A-11R-A35L-07,13479.8139786
cancer,TCGA-S7-A7X2-01A-12R-A35L-07,13815.8758229
cancer,TCGA-SA-A6C2-01A-11R-A35L-07,4598.49822245
cancer,TCGA-WB-A81W-01A-11R-A35L-07,17918.6030657
cancer,TCGA-SR-A6N0-01A-11R-A35L-07,8700.2471786
cancer,TCGA-QT-A69Q-01A-11R-A35K-07,14323.3210806
cancer,TCGA-QR-A70A-01A-11R-A35K-07,64773.1321048
cancer,TCGA-QR-A706-01A-11R-A35K-07,15897.0644343
cancer,TCGA-RW-A67V-01A-11R-A35K-07,91922.3937777
cancer,TCGA-QR-A6GX-01A-11R-A35K-07,5580.76666898
cancer,TCGA-WB-A81R-01A-11R-A35L-07,16069.611174899996
cancer,TCGA-SP-A6QK-01A-11R-A35L-07,43782.2780284
cancer,TCGA-S7-A7WW-01A-11R-A35L-07,28418.9810374
cancer,TCGA-QR-A705-01A-11R-A35K-07,11855.3153603
cancer,TCGA-P7-A5NX-01A-11R-A35K-07,5198.72956046
