tissue,barcode,fpkm
normal,TCGA-G9-6496-11A-01R-1789-07,10400.4403546
normal,TCGA-EJ-7792-11A-01R-2118-07,8804.97853053
normal,TCGA-CH-5769-11A-01R-1580-07,22483.9703955
normal,TCGA-G9-6342-11A-02R-1965-07,1556.01014104
normal,TCGA-G9-6362-11A-01R-1789-07,78990.6978214
normal,TCGA-EJ-7784-11A-01R-2118-07,4159.42705783
normal,TCGA-EJ-7125-11A-01R-1965-07,6346.70176555
normal,TCGA-HC-7211-11A-01R-2118-07,11773.4580633
normal,TCGA-G9-6356-11A-01R-1789-07,66797.2924831
normal,TCGA-G9-6365-11A-01R-1789-07,21983.1239954
normal,TCGA-HC-7740-11A-01R-2118-07,16250.8420891
normal,TCGA-EJ-7789-11A-01R-2118-07,5242.81598099
normal,TCGA-CH-5761-11A-01R-1580-07,7128.4390263
normal,TCGA-EJ-7328-11A-01R-2118-07,886.908717359
normal,TCGA-HC-8262-11A-01R-2263-07,19343.6743571
normal,TCGA-EJ-7794-11A-01R-2118-07,7644.65087684
normal,TCGA-EJ-7327-11A-01R-2118-07,4540.49846005
normal,TCGA-HC-8258-11A-01R-2263-07,13137.1068435
normal,TCGA-EJ-7330-11A-01R-2118-07,3036.24056741
normal,TCGA-EJ-7123-11A-01R-1965-07,1116.09089165
normal,TCGA-G9-6348-11A-01R-1789-07,11177.7928554
normal,TCGA-EJ-7781-11A-01R-2118-07,4787.33358576
normal,TCGA-G9-6363-11A-01R-1789-07,5051.51705476
normal,TCGA-HC-7738-11A-01R-2118-07,15508.4924505
normal,TCGA-HC-8260-11A-01R-2263-07,21595.4957966
normal,TCGA-EJ-7783-11A-01R-2118-07,3475.22785187
normal,TCGA-J4-A83J-11A-11R-A36G-07,60519.2712737
normal,TCGA-EJ-A8FO-11A-11R-A36G-07,10084.2090777
normal,TCGA-EJ-7317-11A-01R-2118-07,4721.25252941
normal,TCGA-HC-7819-11A-01R-2118-07,5311.53479454
normal,TCGA-EJ-7115-11A-01R-2118-07,6471.49468379
normal,TCGA-EJ-7793-11A-01R-2263-07,6866.53951451
normal,TCGA-HC-7747-11A-01R-2118-07,6918.25706753
normal,TCGA-HC-7742-11A-01R-2118-07,5568.92716846
normal,TCGA-CH-5767-11B-01R-1789-07,7197.46624154
normal,TCGA-HC-7752-11A-01R-2118-07,16789.1356924
normal,TCGA-EJ-7331-11A-01R-2118-07,6754.51133812
normal,TCGA-EJ-7785-11A-01R-2118-07,7390.86732263
normal,TCGA-G9-6333-11A-01R-1965-07,2617.57697705
normal,TCGA-EJ-7321-11A-01R-2263-07,13340.3381811
normal,TCGA-EJ-7797-11A-01R-2263-07,7300.700483
normal,TCGA-EJ-7314-11A-01R-2118-07,1728.58058182
normal,TCGA-G9-6351-11A-01R-1965-07,3061.40020792
normal,TCGA-HC-7745-11A-01R-2118-07,12847.8391862
normal,TCGA-HC-7737-11A-02R-2118-07,3879.19091161
normal,TCGA-CH-5768-11A-01R-1580-07,9667.31934499
normal,TCGA-G9-6384-11A-01R-1858-07,21690.0156754
normal,TCGA-G9-6499-11A-02R-1965-07,7459.13872835
normal,TCGA-EJ-7315-11A-01R-2118-07,4754.14583126
normal,TCGA-EJ-7786-11A-01R-2118-07,5256.417125
normal,TCGA-HC-8259-11A-01R-2263-07,16577.3134537
normal,TCGA-EJ-7782-11A-01R-2118-07,15247.8763643
cancer,TCGA-KK-A7AU-01A-11R-A32O-07,80131.2314792
cancer,TCGA-VP-A87C-01A-11R-A352-07,24178.8514788
cancer,TCGA-V1-A9O5-01A-11R-A41O-07,19298.9934316
cancer,TCGA-J4-A67T-01A-11R-A311-07,39692.96389840001
cancer,TCGA-X4-A8KS-01A-12R-A36G-07,154762.74103499998
cancer,TCGA-G9-7519-01A-11R-2263-07,11238.9312492
cancer,TCGA-CH-5737-01A-11R-1580-07,2336.95584859
cancer,TCGA-KK-A6E7-01A-11R-A31N-07,26009.2364
cancer,TCGA-KC-A4BN-01A-61R-A250-07,12325.633075299998
cancer,TCGA-EJ-A65F-01A-21R-A311-07,8761.58308664
cancer,TCGA-YL-A8SP-01B-11R-A37L-07,38132.687171199985
cancer,TCGA-EJ-5519-01A-01R-1580-07,5691.49837766
cancer,TCGA-VP-A87E-01A-31R-A352-07,5794.21460548
cancer,TCGA-4L-AA1F-01A-11R-A41O-07,13720.1011556
cancer,TCGA-HC-7233-01A-11R-2118-07,12529.153484
cancer,TCGA-G9-6361-01A-21R-1965-07,10668.972302700002
cancer,TCGA-YL-A8SJ-01B-11R-A37L-07,42874.7747317
cancer,TCGA-G9-6371-01A-11R-1789-07,2735.64192636
cancer,TCGA-G9-A9S4-01A-11R-A41O-07,26877.9045986
cancer,TCGA-CH-5741-01A-11R-1580-07,7667.76280821
cancer,TCGA-CH-5792-01A-11R-1580-07,6868.07571236
cancer,TCGA-ZG-A9LB-01A-11R-A41O-07,19123.9692181
cancer,TCGA-HC-A4ZV-01A-11R-A26U-07,55337.6758533
cancer,TCGA-EJ-7314-01A-31R-2118-07,5302.593609000001
cancer,TCGA-G9-6342-01A-11R-1965-07,10361.2545595
cancer,TCGA-J4-A83K-01A-11R-A352-07,37326.4984367
cancer,TCGA-YL-A8HK-01A-11R-A36G-07,21702.0739291
cancer,TCGA-QU-A6IO-01A-11R-A31N-07,189215.676761
cancer,TCGA-G9-6366-01A-11R-2118-07,5088.01955835
cancer,TCGA-G9-7525-01A-31R-2263-07,4665.60446405
cancer,TCGA-YL-A8SA-01A-21R-A37L-07,52937.0778447
cancer,TCGA-G9-6496-01A-11R-1789-07,27957.0132964
cancer,TCGA-YL-A8SO-01B-31R-A37L-07,38286.7368932
cancer,TCGA-CH-5762-01A-11R-1580-07,6043.05069314
cancer,TCGA-KC-A7F5-01A-11R-A33R-07,165242.23422
cancer,TCGA-EJ-7794-01A-11R-2118-07,7569.60886149
cancer,TCGA-HC-A6HY-01A-11R-A31N-07,61992.63501930001
cancer,TCGA-G9-6498-01A-12R-A311-07,30126.852494
cancer,TCGA-HC-A9TE-01A-11R-A41O-07,80381.1157445
cancer,TCGA-HC-8264-01B-11R-2403-07,16012.6887917
cancer,TCGA-CH-5750-01A-11R-1580-07,4289.73437965
cancer,TCGA-KK-A59V-01A-11R-A29R-07,120471.767441
cancer,TCGA-EJ-A65B-01A-12R-A30B-07,36734.179005
cancer,TCGA-2A-A8VX-01A-11R-A37L-07,184546.825182
cancer,TCGA-EJ-7784-01A-11R-2118-07,16094.001846
cancer,TCGA-EJ-A6RA-01A-11R-A33R-07,30140.099043
cancer,TCGA-V1-A9Z8-01A-11R-A41O-07,18807.2241441
cancer,TCGA-V1-A9OX-01A-11R-A41O-07,51953.4497091
