tissue,barcode,fpkm
normal,TCGA-AF-2689-11A-01R-A32Z-07,5150.28002072
normal,TCGA-AG-3742-11A-01R-1660-07,4808.91435324
normal,TCGA-AG-3732-11A-01R-1660-07,3612.05907595
normal,TCGA-AH-6643-11A-01R-1830-07,13919.373130000002
normal,TCGA-AG-3725-11A-01R-1736-07,7567.05673443
normal,TCGA-AF-5654-11A-11R-1660-07,17584.244516900002
normal,TCGA-AF-2691-11A-01R-A32Z-07,6679.49986988
normal,TCGA-AF-3400-11A-01R-A32Z-07,5355.73817135
normal,TCGA-AF-2692-11A-01R-A32Z-07,4434.14933505
normal,TCGA-AG-3731-11A-01R-1736-07,5896.00769036
cancer,TCGA-AG-3725-01A-11R-1736-07,13292.3773995
cancer,TCGA-DY-A1DF-01A-11R-A155-07,98373.3958988
cancer,TCGA-AG-4007-01A-01R-1119-07,18633.3667699
cancer,TCGA-EI-6512-01A-11R-1736-07,12430.3530279
cancer,TCGA-AF-3911-01A-01R-1736-07,18839.0583625
cancer,TCGA-DT-5265-01A-21R-1830-07,22126.312611
cancer,TCGA-EI-6507-01A-11R-1736-07,11254.7245223
cancer,TCGA-AF-A56L-01A-31R-A39D-07,28094.601918
cancer,TCGA-AG-3742-01A-11R-1660-07,31873.2820301
cancer,TCGA-AG-A00Y-01A-02R-A002-07,29727.0069858
cancer,TCGA-EI-6884-01A-11R-1928-07,18286.6311454
cancer,TCGA-AH-6897-01A-11R-1928-07,15167.3527787
cancer,TCGA-DC-4749-01A-01R-1736-07,25888.9232737
cancer,TCGA-AG-3612-01A-01R-0826-07,11061.8933675
cancer,TCGA-AG-A023-01A-01R-A00A-07,22123.786735
cancer,TCGA-AG-A032-01A-01R-A00A-07,61196.70149780001
cancer,TCGA-AG-4015-01A-01R-1119-07,44871.46365280001
cancer,TCGA-DC-6157-01A-11R-1660-07,12249.62413
cancer,TCGA-F5-6861-01A-11R-1928-07,15504.3601583
cancer,TCGA-AG-3600-01A-01R-0826-07,34796.7291075
cancer,TCGA-AH-6547-01A-11R-1830-07,10225.5892815
cancer,TCGA-AG-3584-01A-01R-0821-07,80147.3660422
cancer,TCGA-AG-3594-01A-02R-0821-07,21109.7538321
cancer,TCGA-AG-3575-01A-01R-0821-07,17479.6653227
cancer,TCGA-AG-3582-01A-01R-0821-07,25868.9376145
cancer,TCGA-AG-3892-01A-01R-1119-07,9506.09499124
cancer,TCGA-EI-6509-01A-11R-1736-07,13441.8333683
cancer,TCGA-DY-A1H8-01A-21R-A155-07,68580.6967627
cancer,TCGA-AG-3894-01A-01R-1119-07,16901.6768
cancer,TCGA-AG-A025-01A-01R-A00A-07,24833.095458400006
cancer,TCGA-AG-3599-01A-02R-0826-07,16452.741849399998
cancer,TCGA-G5-6572-02A-12R-1830-07,4878.8035501
cancer,TCGA-AG-3591-01A-01R-1736-07,21156.741425
cancer,TCGA-F5-6814-01A-31R-1928-07,29635.316592000006
cancer,TCGA-AF-3913-01A-02R-1119-07,11641.0219265
cancer,TCGA-AG-4001-01A-02R-1119-07,24781.1433759
cancer,TCGA-AF-2692-01A-01R-0821-07,16755.423870299994
cancer,TCGA-EF-5831-01A-01R-1660-07,5116.07249347
cancer,TCGA-AG-3999-01A-01R-1119-07,30987.619708099995
cancer,TCGA-CL-4957-01A-01R-1736-07,9287.76754575
cancer,TCGA-F5-6811-01A-11R-1830-07,15222.5954464
cancer,TCGA-CI-6621-01A-11R-1830-07,20449.0822963
cancer,TCGA-F5-6863-01A-11R-1928-07,17665.399664900004
cancer,TCGA-AF-6136-01A-11R-1830-07,29116.7685183
cancer,TCGA-AG-3605-01A-01R-0826-07,60675.561704
cancer,TCGA-AG-A01W-01A-21R-A083-07,21355.3036697
cancer,TCGA-AH-6544-01A-11R-1830-07,18102.3446224
cancer,TCGA-AG-3727-01A-01R-0905-07,167082.294264
cancer,TCGA-EF-5830-01A-01R-1660-07,11532.648248799998
cancer,TCGA-G5-6235-01A-11R-1736-07,19359.6552045
cancer,TCGA-AG-3726-01A-02R-0905-07,53711.87416080001
cancer,TCGA-CI-6624-01C-11R-1830-07,4752.85877029
cancer,TCGA-AG-3883-01A-02R-0905-07,75146.9540435
cancer,TCGA-AG-A026-01A-01R-A00A-07,12762.3622622
cancer,TCGA-AF-3400-01A-01R-0821-07,16964.3917417
cancer,TCGA-AG-3586-01A-02R-0821-07,29104.143817400003
cancer,TCGA-CL-5917-01A-11R-1660-07,10355.6318133
cancer,TCGA-EI-7002-01A-11R-1928-07,18819.0514426
cancer,TCGA-AG-3583-01A-01R-0821-07,18326.1461947
