tissue,barcode,fpkm
normal,TCGA-BR-7704-11A-01R-2055-13,4818.53815534
normal,TCGA-BR-6453-11A-01R-1802-13,9798.68599621
normal,TCGA-HU-A4GY-11A-11R-A36D-31,29980.044134500004
normal,TCGA-CG-5728-11A-01R-1602-13,29522.2945422
normal,TCGA-HU-A4GH-11A-11R-A36D-31,9224.1111755
normal,TCGA-HU-A4GC-11A-11R-A251-31,7535.78628974
normal,TCGA-IN-7806-11A-01R-2055-13,6969.88168916
normal,TCGA-BR-7703-11A-01R-2055-13,8637.91335655
normal,TCGA-IN-AB1X-11A-21R-A39E-31,11819.8715225
normal,TCGA-CG-5720-11A-01R-1602-13,20127.2444393
normal,TCGA-HU-A4GP-11A-21R-A251-31,9439.58067666
normal,TCGA-BR-7716-11A-01R-2055-13,6132.21045746
normal,TCGA-BR-7715-11A-01R-2055-13,45704.7530087
normal,TCGA-HU-A4GN-11A-12R-A251-31,5818.05911003
normal,TCGA-HU-8238-11A-01R-2343-13,5821.79429447
normal,TCGA-IN-AB1V-11A-11R-A414-31,10687.261447
normal,TCGA-BR-6802-11A-01R-1884-13,18635.4765261
normal,TCGA-CG-5730-11A-01R-1602-13,14917.839996200002
normal,TCGA-BR-6454-11A-01R-1802-13,5214.74506415
normal,TCGA-IP-7968-11A-01R-2203-13,11298.3857784
normal,TCGA-CG-5721-11A-01R-1602-13,6350.8461444
normal,TCGA-BR-7851-11A-01R-2203-13,11344.9671244
normal,TCGA-BR-8060-11A-01R-2343-13,6720.7337249
normal,TCGA-CG-5722-11A-02R-1602-13,8029.29622549
normal,TCGA-CG-5734-11A-01R-1602-13,9260.46326239
normal,TCGA-IN-8663-11A-01R-2402-13,11110.8367695
normal,TCGA-FP-7829-11A-01R-2055-13,7948.83264166
normal,TCGA-BR-7717-11A-01R-2055-13,22984.0146178
normal,TCGA-CG-5733-11A-01R-1602-13,8594.74611765
normal,TCGA-BR-6457-11A-01R-1802-13,1910.93148355
normal,TCGA-FP-7735-11A-01R-2055-13,4475.63088913
normal,TCGA-HU-A4HB-11A-11R-A251-31,9388.69562638
cancer,TCGA-R5-A7O7-01A-11R-A33Y-31,38549.681234
cancer,TCGA-BR-A4PF-01A-11R-A251-31,14416.530641299998
cancer,TCGA-VQ-A8PQ-01A-11R-A414-31,40012.153284900014
cancer,TCGA-BR-8367-01A-11R-2343-13,7730.71400468
cancer,TCGA-BR-A44T-01A-32R-A24K-31,87453.48333130001
cancer,TCGA-BR-7197-01A-11R-2203-13,12312.4596921
cancer,TCGA-CG-5724-01A-11R-1602-13,15244.9296126
cancer,TCGA-RD-A7BS-01A-11R-A32D-31,79683.4129219
cancer,TCGA-IN-8462-01A-11R-2343-13,29100.2579801
cancer,TCGA-VQ-A8P3-01A-11R-A36D-31,17666.0131108
cancer,TCGA-IN-AB1X-01A-11R-A39E-31,19456.3362914
cancer,TCGA-CG-5716-01A-21R-1802-13,10977.6915013
cancer,TCGA-D7-6522-01A-11R-1802-13,7303.27932457
cancer,TCGA-BR-8295-01A-11R-2343-13,26702.2281007
cancer,TCGA-HU-A4H4-01A-21R-A251-31,28956.5153912
cancer,TCGA-D7-8572-01A-11R-2343-13,24654.5141741
cancer,TCGA-FP-7829-01A-11R-2055-13,25083.9790716
cancer,TCGA-VQ-A8PO-01A-11R-A414-31,12789.5059846
cancer,TCGA-CG-5732-01A-11R-1602-13,9450.55646058
cancer,TCGA-HF-7132-01A-11R-2055-13,11277.8007313
cancer,TCGA-BR-8296-01A-11R-2343-13,23978.5152503
cancer,TCGA-CD-8535-01A-11R-2343-13,17623.785060299993
cancer,TCGA-VQ-AA64-01A-11R-A414-31,24752.7217325
cancer,TCGA-D7-A4YU-01A-21R-A251-31,15870.447914200002
cancer,TCGA-VQ-A94U-01A-12R-A414-31,12220.4763147
cancer,TCGA-HU-8604-01A-11R-2402-13,21823.176774900006
cancer,TCGA-F1-6874-01A-11R-1884-13,9032.11005445
cancer,TCGA-CG-5726-01A-11R-1602-13,5169.02125157
cancer,TCGA-BR-6802-01A-11R-1884-13,14418.4536146
cancer,TCGA-BR-A4J5-01A-21R-A251-31,23970.958201700007
cancer,TCGA-VQ-AA6D-01A-11R-A414-31,22371.2891097
cancer,TCGA-BR-4368-01A-01R-1157-13,11110.8367695
cancer,TCGA-CG-4305-01A-01R-1157-13,26837.8731273
cancer,TCGA-HU-A4HB-01A-12R-A251-31,55230.24408169999
cancer,TCGA-IN-A6RL-01A-11R-A32D-31,18208.9976727
cancer,TCGA-RD-A8N0-01A-12R-A36D-31,28621.431481200005
cancer,TCGA-VQ-A8PB-01A-11R-A39E-31,10112.3450896
cancer,TCGA-HU-A4GQ-01A-11R-A36D-31,8156.61663542
cancer,TCGA-RD-A8NB-01A-12R-A39E-31,16562.0105334
cancer,TCGA-RD-A8N5-01A-12R-A36D-31,24448.682216
cancer,TCGA-BR-8682-01A-11R-2402-13,14308.4910674
cancer,TCGA-D7-A6EZ-01A-11R-A31P-31,33750.7811979
cancer,TCGA-BR-4187-01A-01R-1131-13,3675.74844556
cancer,TCGA-R5-A805-01A-11R-A36D-31,12220.7467707
cancer,TCGA-VQ-A8E0-01A-11R-A414-31,33889.5914389
cancer,TCGA-SW-A7EA-01A-12R-A354-31,35757.6584296
cancer,TCGA-IN-A6RJ-01A-21R-A33Y-31,24364.3764153
cancer,TCGA-BR-7723-01A-11R-2055-13,11060.9600769
cancer,TCGA-FP-7735-01A-11R-2055-13,20775.9694749
cancer,TCGA-CG-5734-01A-11R-1602-13,7291.71223987
cancer,TCGA-CD-8534-01A-11R-2343-13,25564.7149052
cancer,TCGA-HU-A4H3-01A-21R-A251-31,25753.1730055
