tissue,barcode,fpkm
normal,TCGA-X7-A8D6-11A-22R-A42C-07,40274.5176211
normal,TCGA-X7-A8D7-11A-11R-A42C-07,89599.0113213
cancer,TCGA-ZB-A969-01A-11R-A42S-07,8380.5681588
cancer,TCGA-XM-A8RH-01A-11R-A42C-07,76500.478128
cancer,TCGA-4V-A9QW-01A-11R-A42C-07,173027.14777
cancer,TCGA-5U-AB0D-01A-11R-A42C-07,291927.61498400004
cancer,TCGA-X7-A8DD-01A-11R-A42C-07,175893.387415
cancer,TCGA-XU-A92Z-01A-11R-A42C-07,43050.9404239
cancer,TCGA-X7-A8D6-01A-11R-A42C-07,69271.2662787
cancer,TCGA-XU-AAXW-01A-11R-A42C-07,79646.69823239997
cancer,TCGA-4V-A9QJ-01A-11R-A42C-07,52303.2852795
cancer,TCGA-XU-AAXX-01A-11R-A42C-07,58190.7732128
cancer,TCGA-4X-A9FA-01A-11R-A42C-07,51935.416578300006
cancer,TCGA-XM-AAZ2-01A-11R-A42C-07,23549.4762101
cancer,TCGA-XU-A932-01A-11R-A42C-07,112543.317032
cancer,TCGA-XM-A8RG-01A-11R-A42C-07,15878.670670299998
cancer,TCGA-3G-AB0T-01A-11R-A42C-07,211763.662579
cancer,TCGA-XM-A8RI-01A-12R-A42C-07,38387.336695
cancer,TCGA-3S-A8YW-01A-11R-A42C-07,21155.4113684
cancer,TCGA-ZB-A96P-01A-11R-A42S-07,57934.4772133
cancer,TCGA-ZB-A964-01A-11R-A42S-07,48466.6093372
cancer,TCGA-4X-A9F9-01A-11R-A42C-07,199248.233253
cancer,TCGA-XM-A8RL-01A-11R-A42C-07,84207.1614168
cancer,TCGA-XU-AAY0-01A-11R-A42C-07,175156.68485999998
cancer,TCGA-XU-AAY1-01A-11R-A42C-07,208158.432002
cancer,TCGA-ZB-A966-01A-11R-A42S-07,70836.9576974
cancer,TCGA-4V-A9QU-01A-11R-A42C-07,102733.200222
cancer,TCGA-5V-A9RR-01A-11R-A42C-07,307732.23325
cancer,TCGA-XU-A92Q-01A-11R-A42C-07,70695.4361001
cancer,TCGA-ZB-A96E-01A-11R-A42S-07,59488.68287300001
cancer,TCGA-XU-AAXY-01A-11R-A42C-07,204149.575683
cancer,TCGA-XM-A8R9-01A-31R-A42C-07,122339.363522
cancer,TCGA-XU-A92Y-01A-11R-A42C-07,77046.4231421
cancer,TCGA-ZB-A965-01A-11R-A42S-07,32246.968784900004
cancer,TCGA-ZT-A8OM-01A-11R-A42S-07,343408.617935
cancer,TCGA-5K-AAAP-01A-11R-A42C-07,77012.389205
cancer,TCGA-XM-A8R8-01A-11R-A42C-07,54058.17368450001
cancer,TCGA-ZL-A9V6-01A-11R-A42S-07,30245.4917483
cancer,TCGA-XM-A8RD-01A-11R-A42C-07,81580.7944328
cancer,TCGA-4V-A9QR-01A-11R-A42C-07,88550.2175463
cancer,TCGA-X7-A8M1-01A-11R-A42C-07,54358.7020104
cancer,TCGA-ZB-A96K-01A-11R-A42S-07,36449.6796984
cancer,TCGA-XU-A930-01A-11R-A42C-07,55204.8640051
cancer,TCGA-3G-AB0Q-01A-11R-A42C-07,24829.3097813
cancer,TCGA-X7-A8M8-01A-11R-A42C-07,98923.7976698
cancer,TCGA-XM-A8RB-01A-11R-A42C-07,85768.15682260001
cancer,TCGA-XM-A8RC-01A-11R-A42C-07,57335.51955210001
cancer,TCGA-XU-A92U-01A-11R-A42C-07,65765.1944791
cancer,TCGA-3S-AAYX-01A-11R-A42C-07,84006.80924229999
cancer,TCGA-XM-AAZ3-01A-11R-A42C-07,28124.0510003
cancer,TCGA-5U-AB0F-01A-11R-A42C-07,130665.532379
cancer,TCGA-YT-A95E-01A-11R-A42C-07,120189.56378599998
cancer,TCGA-ZB-A96A-01A-11R-A42S-07,146928.13701600002
cancer,TCGA-4X-A9FD-01A-11R-A42C-07,52279.3026027
cancer,TCGA-ZB-A96C-01A-11R-A42S-07,25265.1672882
cancer,TCGA-4X-A9FB-01A-11R-A42C-07,53323.5691953
cancer,TCGA-3Q-A9WF-01A-11R-A42C-07,75601.8565186
cancer,TCGA-XU-A936-01A-11R-A42C-07,51068.4565696
cancer,TCGA-ZC-AAAA-01A-11R-A42S-07,73696.6796394
cancer,TCGA-ZB-A96V-01A-11R-A42S-07,51604.0473054
cancer,TCGA-XM-AAZ1-01A-11R-A42C-07,119944.999766
cancer,TCGA-X7-A8D7-01A-11R-A42C-07,93224.8817209
cancer,TCGA-ZB-A96R-01A-11R-A42S-07,83931.64265610001
cancer,TCGA-X7-A8M0-01A-11R-A42C-07,49103.6824254
cancer,TCGA-XU-AAXZ-01A-11R-A466-07,407612.740417
cancer,TCGA-4X-A9FC-01A-11R-A42C-07,84347.9536453
cancer,TCGA-ZB-A963-01A-11R-A42S-07,81462.1561369
cancer,TCGA-X7-A8DG-01A-11R-A42C-07,120867.747067
cancer,TCGA-X7-A8M4-01A-11R-A42C-07,84366.19893049999
cancer,TCGA-XU-A92O-01A-11R-A42C-07,63184.35716640001
cancer,TCGA-X7-A8D8-01A-11R-A42C-07,47524.1184901
cancer,TCGA-YT-A95H-01A-11R-A42S-07,62356.13121460001
cancer,TCGA-X7-A8D9-01A-11R-A42C-07,117824.287259
cancer,TCGA-ZB-A96B-01A-11R-A42S-07,123999.393781
cancer,TCGA-XU-A933-01A-11R-A42C-07,69699.656569
cancer,TCGA-3G-AB19-01A-21R-A42C-07,17119.6722153
cancer,TCGA-ZB-A96Q-01A-11R-A42S-07,29476.6296251
cancer,TCGA-ZB-A96G-01A-11R-A42S-07,102596.361948
cancer,TCGA-ZB-A96M-01A-11R-A42S-07,54333.7630582
cancer,TCGA-ZC-AAA7-01A-11R-A42S-07,80396.8975568
cancer,TCGA-ZB-A961-01A-11R-A42S-07,37957.9483228
cancer,TCGA-YT-A95F-01A-11R-A42C-07,38415.4283266
