tissue,barcode,fpkm
cancer,TCGA-N9-A4PZ-01A-22R-A28V-07,119999.124331
cancer,TCGA-NA-A4R1-01A-11R-A28V-07,69631.1170127
cancer,TCGA-NA-A4QX-01A-11R-A28V-07,16984.7816357
cancer,TCGA-N6-A4VD-01A-11R-A28V-07,25718.0661433
cancer,TCGA-NF-A4X2-01A-11R-A28V-07,19115.5925342
cancer,TCGA-N7-A4Y5-01A-12R-A28V-07,16368.895113799996
cancer,TCGA-ND-A4WA-01A-12R-A28V-07,32208.6350389
cancer,TCGA-QM-A5NM-01A-11R-A28V-07,154088.925278
cancer,TCGA-N7-A4Y0-01A-12R-A28V-07,55229.3055792
cancer,TCGA-N5-A4RS-01A-11R-A28V-07,123708.410702
cancer,TCGA-N8-A4PL-01A-11R-A28V-07,23895.6925236
cancer,TCGA-NF-A4WU-01A-11R-A28V-07,74935.8131764
cancer,TCGA-N9-A4Q4-01A-11R-A28V-07,45793.1770783
cancer,TCGA-N5-A4RJ-01A-11R-A28V-07,27130.7226042
cancer,TCGA-N8-A56S-01A-11R-A28V-07,34042.8472421
cancer,TCGA-QN-A5NN-01A-11R-A28V-07,14581.5707331
cancer,TCGA-NG-A4VW-01A-11R-A28V-07,9724.51312366
cancer,TCGA-N5-A59F-01A-11R-A28V-07,52535.2546121
cancer,TCGA-N6-A4VC-01A-11R-A28V-07,11620.5292919
cancer,TCGA-N5-A4RV-01A-21R-A28V-07,60841.6477402
cancer,TCGA-NA-A4QV-01A-11R-A28V-07,19182.8122003
cancer,TCGA-N5-A4RM-01A-11R-A28V-07,25746.8423337
cancer,TCGA-NF-A4WX-01A-11R-A28V-07,77661.6213137
cancer,TCGA-N9-A4Q7-01A-11R-A28V-07,93053.6886812
cancer,TCGA-N6-A4VG-01A-31R-A28V-07,30065.8726251
cancer,TCGA-N5-A59E-01A-11R-A28V-07,44799.8820459
cancer,TCGA-N5-A4RD-01A-11R-A28V-07,19300.0187921
cancer,TCGA-N5-A4RF-01A-11R-A28V-07,5166.64140753
cancer,TCGA-N8-A4PO-01A-11R-A28V-07,39780.0253001
cancer,TCGA-N8-A4PN-01A-11R-A28V-07,58516.2046
cancer,TCGA-N8-A4PP-01A-11R-A28V-07,38110.0540186
cancer,TCGA-N6-A4VF-01A-31R-A28V-07,21737.9374992
cancer,TCGA-N6-A4VE-01A-11R-A28V-07,66726.48349520001
cancer,TCGA-N8-A4PI-01A-21R-A28V-07,57533.1758115
cancer,TCGA-N5-A4RT-01A-11R-A28V-07,42379.447027699985
cancer,TCGA-NG-A4VU-01A-11R-A28V-07,25695.6783723
cancer,TCGA-NA-A5I1-01A-21R-A28V-07,123318.07843
cancer,TCGA-N5-A4R8-01A-11R-A28V-07,34080.3706896
cancer,TCGA-N5-A4RA-01A-11R-A28V-07,49599.0637706
cancer,TCGA-NA-A4R0-01A-11R-A28V-07,24391.7453688
cancer,TCGA-N5-A4RU-01A-31R-A28V-07,7263.1236963
cancer,TCGA-N9-A4Q3-01A-11R-A28V-07,27067.7718163
cancer,TCGA-ND-A4W6-01A-11R-A28V-07,21889.9072373
cancer,TCGA-N6-A4V9-01A-11R-A28V-07,10762.2435895
cancer,TCGA-NA-A4QY-01A-11R-A28V-07,7954.59517077
cancer,TCGA-NA-A4QW-01A-11R-A28V-07,5326.28275531
cancer,TCGA-N8-A4PM-01A-11R-A28V-07,86477.35499960001
cancer,TCGA-NF-A5CP-01A-12R-A28V-07,7085.28020385
cancer,TCGA-N7-A4Y8-01A-11R-A28V-07,53582.6519647
cancer,TCGA-N9-A4Q1-01A-11R-A28V-07,33498.343693
cancer,TCGA-N7-A59B-01A-11R-A28V-07,59976.6406768
cancer,TCGA-ND-A4WF-01A-11R-A28V-07,7957.52396133
cancer,TCGA-N5-A4RO-01A-11R-A28V-07,16174.028230700002
cancer,TCGA-ND-A4WC-01A-21R-A28V-07,24600.8583942
cancer,TCGA-N8-A4PQ-01A-11R-A28V-07,11026.936168200002
cancer,TCGA-N5-A4RN-01A-12R-A28V-07,51631.9861935
