tissue,barcode,fpkm
cancer,TCGA-WC-A882-01A-11R-A405-07,16720.650481099998
cancer,TCGA-V4-A9ES-01A-11R-A405-07,19172.2779816
cancer,TCGA-VD-A8KK-01A-11R-A405-07,31234.5389032
cancer,TCGA-WC-A880-01A-11R-A405-07,8065.21858355
cancer,TCGA-VD-A8KF-01A-11R-A405-07,31202.6606692
cancer,TCGA-V4-A9E9-01A-11R-A405-07,8287.2298622
cancer,TCGA-VD-AA8M-01A-11R-A405-07,4597.86233885
cancer,TCGA-V4-A9ET-01A-11R-A405-07,13924.5794144
cancer,TCGA-V4-A9F1-01A-11R-A405-07,9899.82368414
cancer,TCGA-V4-A9F7-01A-11R-A405-07,30857.2004333
cancer,TCGA-VD-A8KN-01A-11R-A405-07,8959.63683605
cancer,TCGA-V3-A9ZX-01A-11R-A405-07,5442.35669595
cancer,TCGA-V4-A9EM-01A-11R-A405-07,13189.8743972
cancer,TCGA-WC-A884-01A-11R-A405-07,10450.984080700002
cancer,TCGA-V4-A9ED-01A-11R-A405-07,9038.65743398
cancer,TCGA-VD-A8KB-01A-11R-A405-07,21827.2698996
cancer,TCGA-VD-AA8P-01A-11R-A405-07,7167.28029038
cancer,TCGA-VD-A8KJ-01A-11R-A405-07,13910.4571229
cancer,TCGA-WC-A888-01A-11R-A405-07,21152.475953
cancer,TCGA-WC-A87U-01A-11R-A405-07,41794.9539559
cancer,TCGA-VD-A8KI-01A-11R-A405-07,5015.61863643
cancer,TCGA-WC-A881-01A-12R-A405-07,49528.6114406
cancer,TCGA-WC-A87Y-01A-11R-A405-07,16830.1610414
cancer,TCGA-VD-A8KD-01A-11R-A405-07,41181.4500446
cancer,TCGA-V3-A9ZY-01A-11R-A405-07,9684.52654771
cancer,TCGA-VD-AA8T-01A-11R-A405-07,56449.4213185
cancer,TCGA-V4-A9F2-01A-11R-A405-07,17257.893329
cancer,TCGA-YZ-A985-01A-11R-A405-07,0.0
cancer,TCGA-WC-A88A-01A-11R-A405-07,3074.29494888
cancer,TCGA-V4-A9EQ-01A-11R-A405-07,7436.14871235
cancer,TCGA-V4-A9EK-01A-11R-A405-07,23871.399994
cancer,TCGA-V4-A9EH-01A-11R-A405-07,10272.9787272
cancer,TCGA-RZ-AB0B-01A-11R-A405-07,20594.9599872
cancer,TCGA-V4-A9F5-01A-11R-A405-07,14000.0875005
cancer,TCGA-VD-A8KH-01A-11R-A405-07,35187.406994599995
cancer,TCGA-VD-A8KL-01A-11R-A405-07,11022.1683361
cancer,TCGA-VD-AA8R-01A-11R-A405-07,5842.48087318
cancer,TCGA-V4-A9EC-01A-11R-A405-07,4432.04784248
cancer,TCGA-V4-A9E7-01A-11R-A405-07,13325.4649635
cancer,TCGA-VD-A8KA-01B-11R-A405-07,34920.9348951
cancer,TCGA-V4-A9E8-01A-11R-A405-07,8078.28178178
cancer,TCGA-YZ-A982-01A-11R-A405-07,19002.903058900003
cancer,TCGA-V4-A9EX-01A-11R-A405-07,23704.0763755
cancer,TCGA-V4-A9EI-01A-11R-A405-07,21265.895408400003
cancer,TCGA-VD-AA8N-01A-11R-A405-07,6614.76282768
cancer,TCGA-V4-A9EU-01A-11R-A405-07,22385.6874868
cancer,TCGA-WC-A87T-01A-11R-A405-07,45257.79359080001
cancer,TCGA-WC-AA9E-01A-11R-A405-07,24937.6558603
cancer,TCGA-V4-A9F3-01A-11R-A405-07,19270.0068012
cancer,TCGA-YZ-A983-01A-11R-A405-07,24955.4812041
cancer,TCGA-VD-A8K7-01B-11R-A405-07,43325.5135029
cancer,TCGA-WC-A883-01A-12R-A405-07,49328.8992977
cancer,TCGA-VD-A8K8-01A-11R-A405-07,14355.5584722
cancer,TCGA-VD-A8KO-01A-11R-A405-07,24968.866944
cancer,TCGA-V4-A9EA-01A-11R-A405-07,2317.62600933
cancer,TCGA-V4-A9EF-01A-21R-A405-07,10727.6481199
cancer,TCGA-VD-A8K9-01A-11R-A405-07,21696.7098296
cancer,TCGA-VD-A8KG-01A-11R-A405-07,5844.76309227
cancer,TCGA-WC-AA9A-01A-11R-A405-07,21156.741425
cancer,TCGA-VD-AA8Q-01A-11R-A405-07,20897.4769779
cancer,TCGA-WC-A885-01A-11R-A405-07,13407.3418604
cancer,TCGA-V4-A9EW-01A-11R-A405-07,23615.2044132
cancer,TCGA-V4-A9EY-01A-11R-A405-07,10199.4502496
cancer,TCGA-YZ-A984-01A-11R-A405-07,6345.45950645
cancer,TCGA-V4-A9EJ-01A-11R-A405-07,18214.9792568
cancer,TCGA-V4-A9EE-01A-11R-A405-07,22224.4240865
cancer,TCGA-VD-AA8O-01A-11R-A405-07,5430.67418562
cancer,TCGA-VD-A8KM-01A-11R-A405-07,19484.6578616
cancer,TCGA-V4-A9EZ-01A-11R-A405-07,9536.38847432
cancer,TCGA-V4-A9E5-01A-11R-A405-07,7141.367657600002
cancer,TCGA-V4-A9F4-01A-11R-A405-07,21094.2783458
cancer,TCGA-V4-A9EV-01A-11R-A405-07,20111.0127906
cancer,TCGA-YZ-A980-01A-11R-A405-07,14339.9104804
cancer,TCGA-VD-A8KE-01A-11R-A405-07,15463.951088299998
cancer,TCGA-V4-A9F8-01A-11R-A405-07,10673.4081946
cancer,TCGA-V4-A9EL-01A-11R-A405-07,20623.8366867
cancer,TCGA-VD-AA8S-01B-11R-A405-07,8475.78937852
cancer,TCGA-WC-A87W-01A-11R-A405-07,52650.931478
cancer,TCGA-V4-A9F0-01A-11R-A405-07,10872.0025549
cancer,TCGA-V4-A9EO-01A-12R-A405-07,15272.6956407
