cancer_type,patient,paired_normal,paired_tumor
BLCA,TCGA-BT-A20Q,3828.70867866,12916.0460237
BLCA,TCGA-BT-A20N,0.0,20553.0130717
BLCA,TCGA-CU-A0YR,11580.9547339,18702.3067799
BLCA,TCGA-BT-A2LB,4930.82666542,28418.9810374
BLCA,TCGA-K4-A54R,7093.51778581,21469.5050453
BLCA,TCGA-BT-A2LA,0.0,32193.9566517
BLCA,TCGA-BT-A20U,9462.01107686,14342.2894955
BLCA,TCGA-GC-A3WC,11149.473559,44121.1751307
BLCA,TCGA-GD-A2C5,7532.51787969,26096.6543322
BLCA,TCGA-K4-A3WV,13797.6754859,35849.7762009
BLCA,TCGA-BT-A20R,538.145357366,9513.91718191
BLCA,TCGA-BL-A13J,3117.20698254,39900.2493766
BLCA,TCGA-GD-A3OP,13587.5349766,13091.6742506
BLCA,TCGA-K4-A5RI,27257.7326384,21390.8257061
BLCA,TCGA-CU-A0YN,4091.49398857,27708.5065115
BLCA,TCGA-GC-A3BM,2952.94918417,22602.1050094
BLCA,TCGA-GC-A6I3,102396.624717,196032.971238
BLCA,TCGA-BT-A20W,2861.87414837,16355.2424072
BLCA,TCGA-GD-A3OQ,4593.72376227,13082.0489759
BRCA,TCGA-E9-A1NG,0.0,4701.15262468
BRCA,TCGA-BH-A0DO,13260.9318031,15224.172479700002
BRCA,TCGA-BH-A0DT,7689.12940285,7882.30924073
BRCA,TCGA-BH-A0AU,26182.562610900004,8938.22790694
BRCA,TCGA-BH-A0E0,3532.24587257,4250.49528896
BRCA,TCGA-E2-A1BC,4698.12657505,4099.05993184
BRCA,TCGA-E9-A1RD,3882.25357832,9709.66483855
BRCA,TCGA-BH-A1FD,5152.40823561,5607.3278055
BRCA,TCGA-AC-A2FF,13979.2711276,8389.79130194
BRCA,TCGA-BH-A0E1,5676.24943711,2669.98456749
BRCA,TCGA-BH-A0B5,4743.81754566,14917.839996200002
BRCA,TCGA-A7-A0CH,4294.65944782,5060.05867981
BRCA,TCGA-E9-A1R7,3017.86880117,910.050391765
BRCA,TCGA-GI-A2C8,1458.34244797,7115.47750295
BRCA,TCGA-BH-A1EN,7013.77338978,3121.94565005
BRCA,TCGA-BH-A18J,13457.6744436,10610.7868798
BRCA,TCGA-BH-A18U,13944.6351502,8709.84303946
BRCA,TCGA-BH-A1FH,1309.06329976,8391.38006925
BRCA,TCGA-BH-A18N,5692.13633398,29660.9350655
BRCA,TCGA-BH-A0H9,3504.9410907,511.699104552
BRCA,TCGA-E9-A1RC,1823.2612583,16071.5290185
BRCA,TCGA-A7-A13F,10729.5167877,3188.95854992
BRCA,TCGA-BH-A1F0,4204.69366131,4207.99930147
BRCA,TCGA-BH-A1FN,5352.95990133,14205.9711403
BRCA,TCGA-BH-A0BW,21016.986979700006,13083.5281764
BRCA,TCGA-BH-A1FE,10080.9119193,5052.19932341
BRCA,TCGA-E9-A1N6,3991.3934154,7352.62580649
BRCA,TCGA-E2-A1LH,7808.97329121,27487.9244021
BRCA,TCGA-BH-A1F6,5700.03562522,7389.84739657
BRCA,TCGA-BH-A0BV,4803.16358522,2066.08582107
BRCA,TCGA-E9-A1RF,3204.32455642,16227.4580871
BRCA,TCGA-BH-A0B7,23871.0758745,3675.40985414
BRCA,TCGA-E9-A1NA,7331.72947678,11387.0574705
BRCA,TCGA-A7-A13G,8189.70635808,18049.8377681
BRCA,TCGA-E2-A15I,5535.55069042,11440.3008799
BRCA,TCGA-BH-A204,1936.34132663,8160.99069764
BRCA,TCGA-E2-A1IG,6711.79003105,21177.379666
BRCA,TCGA-A7-A0D9,1982.58824913,10097.238935299998
BRCA,TCGA-BH-A0BT,7027.51976741,18021.792853
BRCA,TCGA-BH-A0DP,10679.93827,6609.64926172
BRCA,TCGA-BH-A0C3,17128.8949344,10273.535588600002
BRCA,TCGA-BH-A1EV,5338.69892348,13654.7699905
BRCA,TCGA-BH-A1EU,15122.896216100002,6040.0014194
BRCA,TCGA-BH-A1FG,4373.58866344,5358.22276519
BRCA,TCGA-E2-A15K,8084.52683752,19398.9942865
BRCA,TCGA-BH-A1ET,10794.1869294,6855.52448327
