cancer_type,normal-mean,cancer-mean,n_normal,n_cancer,p-value,significance_level
ACC,nan,nan,0,0,nan,n/a
BLCA,12145.945874764524,34044.64865190579,19,19,0.0007732594755754647,***
BRCA,8305.604957905975,9232.82129291701,112,112,0.21145102496475157,ns
CESC,8392.263908963336,18721.943367333333,3,3,0.16590334501056334,ns
CHOL,3852.5966519188887,44012.16494912223,9,9,0.0017532982845015746,**
COAD,8174.814890806096,24655.327784922196,41,41,3.9532621485357004e-07,****
DLBC,nan,nan,0,0,nan,n/a
ESCA,10567.2404844025,17611.13962767375,8,8,0.21177104019580206,ns
GBM,nan,nan,0,0,nan,n/a
HNSC,3715.056468802837,6519.178770085256,43,43,0.002983060247586104,**
KICH,10544.452129612608,15798.890367735212,23,23,0.04640027201022553,*
KIRC,2538.6094354406528,5620.636336867556,72,72,2.0874238245923498e-06,****
KIRP,7042.714924384355,14970.72816591887,31,31,0.11005939047022353,ns
LAML,nan,nan,0,0,nan,n/a
LGG,nan,nan,0,0,nan,n/a
LIHC,3057.4635631831998,10632.836198266203,50,50,2.470290099943073e-05,****
LUAD,4762.182758188175,12415.917714685615,57,57,3.4457091683234625e-07,****
LUSC,6352.518620278306,15964.356250969999,49,49,0.00011051601168717161,***
MESO,nan,nan,0,0,nan,n/a
OV,nan,nan,0,0,nan,n/a
PAAD,43615.706872025,28463.059794800003,4,4,0.5740739002249589,ns
PCPG,11196.176858706667,9616.165775073334,3,3,0.2645096920043349,ns
PRAD,12370.01053402825,18958.757908573323,52,52,0.13276463664836943,ns
READ,7761.893653017779,15037.00040868333,9,9,0.05579549376209469,ns
SARC,5288.539922565,8053.971006764999,2,2,0.6323443767494403,ns
SKCM,nan,nan,0,0,nan,n/a
STAD,11582.726635732964,21693.638938124448,27,27,0.038641558707183506,*
TGCT,nan,nan,0,0,nan,n/a
THCA,11770.987010520463,28693.802141817963,58,58,0.006873209318273373,**
THYM,64936.764471200004,81248.07399979999,2,2,0.42080555073875964,ns
UCEC,13341.791080395782,46641.95781665132,23,23,0.0027556021962836393,**
UCS,nan,nan,0,0,nan,n/a
UVM,nan,nan,0,0,nan,n/a
