cancer_type,normal-mean,cancer-mean,n_normal,n_cancer,p-value,significance_level
ACC,nan,23892.23216566924,0,79,nan,n/a
BLCA,12145.945874764526,42443.435291470756,19,414,0.03762993785511045,*
BRCA,8278.682986775035,16875.693621114573,113,1102,1.6290636655423742e-07,****
CESC,8392.263908963336,38262.6117259898,3,304,0.1103731768242957,ns
CHOL,3852.5966519188887,41693.613871439724,9,36,0.04770553030763424,*
COAD,8174.8148908060975,21630.576296737327,41,479,3.5556290774040553e-07,****
DLBC,nan,94784.28937069792,0,48,nan,n/a
ESCA,11262.785579239093,20134.01827902099,11,161,0.018771166825762232,*
GBM,9531.595764939999,31768.124060362665,5,169,0.08306183159166151,ns
HNSC,3702.474901964818,13257.751040810548,44,500,2.3063502984984378e-05,****
KICH,10444.348229899168,23417.102546395847,24,65,0.10205118761397866,ns
KIRC,2538.6094354406528,16647.06035995763,72,538,3.1021915647239014e-09,****
KIRP,7026.569041619843,23113.43647375323,32,288,0.0023802077454049015,**
LAML,nan,nan,0,0,nan,n/a
LGG,nan,25895.61643121524,0,529,nan,n/a
LIHC,3057.4635631832,19774.986633412267,50,374,8.76372708350922e-06,****
LUAD,4878.652947490609,20942.27422246759,59,535,1.076929503482797e-07,****
LUSC,6352.518620278306,21538.869038188823,49,502,2.3546163793490916e-08,****
MESO,nan,23595.321366591168,0,86,nan,n/a
OV,nan,43911.64203332882,0,379,nan,n/a
PAAD,43615.706872024995,23233.396104665197,4,177,0.04496782157645927,*
PCPG,11196.176858706667,21134.45598526006,3,178,0.4132519810724973,ns
PRAD,12370.010534028252,30296.65652610061,52,498,6.300886546542702e-05,****
READ,7500.732289788,25853.562585035925,10,167,0.013538427439808496,*
SARC,5288.539922565,29010.20607314743,2,262,0.16818248578653042,ns
SKCM,32245.931538,27609.85511980437,1,103,nan,n/a
STAD,11882.014758981875,21444.5393016269,32,375,0.0014737934804165329,**
TGCT,nan,36913.76574608854,0,150,nan,n/a
THCA,11770.987010520463,20422.57231666743,58,502,0.007443396247013891,**
THYM,64936.764471200004,91811.71571424119,2,119,0.5958648754864263,ns
UCEC,19664.060783654942,47150.66298829861,35,552,0.005659794845026495,**
UCS,nan,41379.92489337233,0,56,nan,n/a
UVM,nan,18276.1769675925,0,80,nan,n/a
